Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	Boana_platanera	2.805333333	3.008	1289.0625	1781.25	0
2	Spectrogram 1	1	Boana_platanera	3.413333333	3.562666667	1101.5625	1851.5625	1
3	Spectrogram 1	1	Boana_platanera	4.714666667	4.885333333	1289.0625	1664.0625	0
4	Spectrogram 1	1	Boana_platanera	10.325333333	10.613333333	1289.0625	1757.8125	0
5	Spectrogram 1	1	Boana_platanera	12.181333333	12.330666667	1171.875	1687.5	0
6	Spectrogram 1	1	Boana_platanera	14.794666667	14.976	492.1875	1992.1875	0
7	Spectrogram 1	1	Boana_platanera	16.0	16.202666667	492.1875	1664.0625	0
8	Spectrogram 1	1	Boana_platanera	16.490666667	16.661333333	1359.375	1664.0625	0
9	Spectrogram 1	1	Boana_platanera	17.109333333	17.269333333	1359.375	1734.375	0
10	Spectrogram 1	1	Boana_platanera	18.026666667	18.368	1335.9375	1687.5	0
11	Spectrogram 1	1	Boana_platanera	19.701333333	19.904	1312.5	1687.5	0
12	Spectrogram 1	1	Boana_platanera	20.192	20.341333333	1171.875	1664.0625	0
13	Spectrogram 1	1	Boana_platanera	22.997333333	23.136	1359.375	1734.375	0
14	Spectrogram 1	1	Boana_platanera	23.914666667	24.064	1265.625	1664.0625	0
15	Spectrogram 1	1	Boana_platanera	24.650666667	24.810666667	1265.625	2015.625	1
16	Spectrogram 1	1	Boana_platanera	25.269333333	25.429333333	1171.875	1687.5	0
17	Spectrogram 1	1	Boana_platanera	25.973333333	26.112	1289.0625	1664.0625	0
18	Spectrogram 1	1	Boana_platanera	26.602666667	26.762666667	1359.375	1664.0625	0
19	Spectrogram 1	1	Boana_platanera	27.381333333	27.562666667	1148.4375	1664.0625	0
20	Spectrogram 1	1	Boana_platanera	27.754666667	27.882666667	1335.9375	1710.9375	0
21	Spectrogram 1	1	Boana_platanera	30.752	30.912	1148.4375	1804.6875	0
22	Spectrogram 1	1	Boana_platanera	36.650666667	36.8	1289.0625	2273.4375	1
23	Spectrogram 1	1	Boana_platanera	41.141333333	41.312	1265.625	1570.3125	0
24	Spectrogram 1	1	Boana_platanera	43.338666667	43.477333333	1101.5625	1664.0625	0
25	Spectrogram 1	1	Boana_platanera	43.872	44.288	539.0625	1687.5	0
26	Spectrogram 1	1	Boana_platanera	44.725333333	44.938666667	515.625	1710.9375	0
27	Spectrogram 1	1	Boana_platanera	45.344	45.525333333	1148.4375	1687.5	0
28	Spectrogram 1	1	Boana_platanera	46.794666667	46.933333333	1312.5	1781.25	0
29	Spectrogram 1	1	Boana_platanera	47.797333333	47.989333333	515.625	1781.25	0
30	Spectrogram 1	1	Boana_platanera	48.864	49.024	1101.5625	1640.625	1
31	Spectrogram 1	1	Boana_platanera	50.186666667	50.336	1289.0625	1687.5	0
32	Spectrogram 1	1	Boana_platanera	50.965333333	51.136	515.625	1757.8125	0
33	Spectrogram 1	1	Boana_platanera	51.68	51.872	1125.0	1968.75	0
34	Spectrogram 1	1	Boana_platanera	57.482666667	57.653333333	492.1875	1734.375	0
35	Spectrogram 1	1	Boana_platanera	58.752	58.922666667	515.625	1664.0625	0
