Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	Leptodactylus_fuscus	0.874666667	1.013333333	1828.125	2671.875	0
2	Spectrogram 1	1	Leptodactylus_fuscus	2.090666667	2.24	2039.0625	2765.625	0
3	Spectrogram 1	1	Leptodactylus_fuscus	3.242666667	3.392	1734.375	2601.5625	0
4	Spectrogram 1	1	Leptodactylus_fuscus	3.616	3.744	1945.3125	2554.6875	0
5	Spectrogram 1	1	Leptodactylus_fuscus	4.757333333	4.938666667	1664.0625	2695.3125	0
6	Spectrogram 1	1	Leptodactylus_fuscus	5.525333333	5.674666667	1804.6875	2671.875	0
7	Spectrogram 1	1	Leptodactylus_fuscus	5.984	6.154666667	1875.0	2601.5625	0
8	Spectrogram 1	1	Leptodactylus_fuscus	6.506666667	6.624	1875.0	2554.6875	0
9	Spectrogram 1	1	Leptodactylus_fuscus	7.381333333	7.552	1804.6875	2695.3125	0
10	Spectrogram 1	1	Leptodactylus_fuscus	7.84	8.021333333	1640.625	2671.875	0
11	Spectrogram 1	1	Leptodactylus_fuscus	8.576	8.736	2226.5625	2671.875	0
12	Spectrogram 1	1	Leptodactylus_fuscus	9.034666667	9.525333333	1898.4375	2742.1875	0
13	Spectrogram 1	1	Leptodactylus_fuscus	9.834666667	10.06933333	1617.1875	2742.1875	0
14	Spectrogram 1	1	Leptodactylus_fuscus	10.38933333	10.54933333	2179.6875	2718.75	0
15	Spectrogram 1	1	Leptodactylus_fuscus	10.66666667	10.79466667	1875.0	2625.0	0
16	Spectrogram 1	1	Leptodactylus_fuscus	11.008	11.2	2203.125	2765.625	0
17	Spectrogram 1	1	Leptodactylus_fuscus	11.85066667	12.032	1640.625	2648.4375	0
18	Spectrogram 1	1	Leptodactylus_fuscus	12.48	12.768	2109.375	2648.4375	0
19	Spectrogram 1	1	Leptodactylus_fuscus	12.90666667	13.12	1640.625	2625.0	0
20	Spectrogram 1	1	Leptodactylus_fuscus	15.04	15.264	1664.0625	2671.875	0
21	Spectrogram 1	1	Leptodactylus_fuscus	15.616	15.75466667	1804.6875	2718.75	0
22	Spectrogram 1	1	Leptodactylus_fuscus	16.096	16.33066667	1757.8125	2718.75	0
23	Spectrogram 1	1	Leptodactylus_fuscus	16.46933333	16.71466667	1921.875	2648.4375	0
24	Spectrogram 1	1	Leptodactylus_fuscus	16.97066667	17.10933333	2320.3125	2765.625	1
25	Spectrogram 1	1	Leptodactylus_fuscus	17.376	17.568	1687.5	2718.75	0
26	Spectrogram 1	1	Leptodactylus_fuscus	17.86666667	18.048	1640.625	2742.1875	0
27	Spectrogram 1	1	Leptodactylus_fuscus	18.45333333	18.688	1664.0625	2695.3125	0
28	Spectrogram 1	1	Leptodactylus_fuscus	19.46666667	19.66933333	1781.25	2718.75	1
29	Spectrogram 1	1	Leptodactylus_fuscus	19.808	19.92533333	1804.6875	2578.125	0
30	Spectrogram 1	1	Leptodactylus_fuscus	20.128	20.24533333	1710.9375	2625.0	0
31	Spectrogram 1	1	Leptodactylus_fuscus	20.71466667	20.91733333	2039.0625	2601.5625	0
32	Spectrogram 1	1	Leptodactylus_fuscus	21.41866667	21.52533333	1992.1875	2578.125	0
33	Spectrogram 1	1	Leptodactylus_fuscus	22.09066667	22.22933333	1710.9375	2625.0	0
34	Spectrogram 1	1	Leptodactylus_fuscus	22.95466667	23.17866667	1898.4375	2765.625	0
35	Spectrogram 1	1	Leptodactylus_fuscus	23.25333333	23.38133333	1968.75	2648.4375	0
36	Spectrogram 1	1	Leptodactylus_fuscus	23.584	23.712	2156.25	2718.75	0
37	Spectrogram 1	1	Leptodactylus_fuscus	23.97866667	24.224	1617.1875	2742.1875	0
38	Spectrogram 1	1	Leptodactylus_fuscus	24.46933333	24.64	1710.9375	2671.875	0
39	Spectrogram 1	1	Leptodactylus_fuscus	25.01333333	25.17333333	1828.125	2718.75	0
40	Spectrogram 1	1	Leptodactylus_fuscus	25.46133333	25.62133333	1640.625	2648.4375	0
41	Spectrogram 1	1	Leptodactylus_fuscus	26.48533333	26.66666667	1570.3125	2695.3125	0
42	Spectrogram 1	1	Leptodactylus_fuscus	27.01866667	27.232	1664.0625	2718.75	0
43	Spectrogram 1	1	Leptodactylus_fuscus	27.808	27.968	1828.125	2601.5625	0
44	Spectrogram 1	1	Leptodactylus_fuscus	28.20266667	28.33066667	1921.875	2671.875	0
45	Spectrogram 1	1	Leptodactylus_fuscus	28.53333333	28.736	2039.0625	2671.875	0
46	Spectrogram 1	1	Leptodactylus_fuscus	28.88533333	29.01333333	1875.0	2625.0	0
47	Spectrogram 1	1	Leptodactylus_fuscus	29.61066667	29.74933333	2039.0625	2718.75	0
48	Spectrogram 1	1	Leptodactylus_fuscus	30.73066667	30.944	1617.1875	2718.75	0
49	Spectrogram 1	1	Leptodactylus_fuscus	31.27466667	31.41333333	1945.3125	2625.0	0
50	Spectrogram 1	1	Leptodactylus_fuscus	32.18133333	32.384	1828.125	2601.5625	0
51	Spectrogram 1	1	Leptodactylus_fuscus	33.70666667	33.89866667	1710.9375	2718.75	0
52	Spectrogram 1	1	Leptodactylus_fuscus	35.56266667	35.75466667	1664.0625	2671.875	0
53	Spectrogram 1	1	Leptodactylus_fuscus	36.608	36.74666667	1664.0625	2695.3125	0
54	Spectrogram 1	1	Leptodactylus_fuscus	37.22666667	37.38666667	1734.375	2742.1875	0
