Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score	File
13	Spectrogram 1	1	42.0	43.998999999999995	200.0	2500.0	BOAN	0.87	SMA03328_20210606_200000.wav
14	Spectrogram 1	1	43.2	45.99900000000001	200.0	2500.0	BOAN	0.91	SMA03328_20210606_200000.wav
15	Spectrogram 1	1	44.8	47.99899999999998	200.0	2500.0	BOAN	0.98	SMA03328_20210606_200000.wav
16	Spectrogram 1	1	48.0	49.998999999999995	200.0	2500.0	BOAN	0.81	SMA03328_20210606_200000.wav
17	Spectrogram 1	1	50.0	52.399	200.0	2500.0	BOAN	0.86	SMA03328_20210606_200000.wav
18	Spectrogram 1	1	53.6	57.19900000000002	200.0	2500.0	BOAN	0.95	SMA03328_20210606_200000.wav
19	Spectrogram 1	1	56.0	58.79900000000001	200.0	2500.0	BOAN	0.84	SMA03328_20210606_200000.wav
1	Spectrogram 1	1	4.4	6.799000000000001	200.0	2500.0	BOAN	0.83	SMA03251_20210605_194000.wav
2	Spectrogram 1	1	8.4	10.398999999999996	200.0	2500.0	BOAN	0.85	SMA03251_20210605_194000.wav
3	Spectrogram 1	1	9.6	11.598999999999995	200.0	2500.0	BOAN	0.75	SMA03251_20210605_194000.wav
4	Spectrogram 1	1	10.4	12.398999999999996	200.0	2500.0	BOAN	0.89	SMA03251_20210605_194000.wav
5	Spectrogram 1	1	11.2	13.199000000000023	200.0	2500.0	BOAN	0.79	SMA03251_20210605_194000.wav
6	Spectrogram 1	1	14.8	17.59899999999998	200.0	2500.0	BOAN	0.92	SMA03251_20210605_194000.wav
7	Spectrogram 1	1	17.2	19.199000000000023	200.0	2500.0	BOAN	0.78	SMA03251_20210605_194000.wav
8	Spectrogram 1	1	21.2	23.999000000000034	200.0	2500.0	BOAN	0.94	SMA03251_20210605_194000.wav
9	Spectrogram 1	1	26.4	28.399000000000022	200.0	2500.0	BOAN	0.76	SMA03251_20210605_194000.wav
10	Spectrogram 1	1	28.4	30.399000000000022	200.0	2500.0	BOAN	0.88	SMA03251_20210605_194000.wav
11	Spectrogram 1	1	30.0	33.19900000000001	200.0	2500.0	BOAN	0.93	SMA03251_20210605_194000.wav
12	Spectrogram 1	1	33.2	36.399000000000015	200.0	2500.0	BOAN	0.92	SMA03251_20210605_194000.wav
13	Spectrogram 1	1	35.2	37.19900000000003	200.0	2500.0	BOAN	0.84	SMA03251_20210605_194000.wav
14	Spectrogram 1	1	38.0	39.999000000000024	200.0	2500.0	BOAN	0.83	SMA03251_20210605_194000.wav
15	Spectrogram 1	1	38.8	40.798999999999964	200.0	2500.0	BOAN	0.77	SMA03251_20210605_194000.wav
16	Spectrogram 1	1	42.8	45.199	200.0	2500.0	BOAN	0.89	SMA03251_20210605_194000.wav
17	Spectrogram 1	1	44.4	46.39900000000002	200.0	2500.0	BOAN	0.82	SMA03251_20210605_194000.wav
18	Spectrogram 1	1	45.2	47.19900000000003	200.0	2500.0	BOAN	0.87	SMA03251_20210605_194000.wav
19	Spectrogram 1	1	46.8	48.798999999999964	200.0	2500.0	BOAN	0.75	SMA03251_20210605_194000.wav
20	Spectrogram 1	1	48.0	51.59899999999999	200.0	2500.0	BOAN	0.97	SMA03251_20210605_194000.wav
21	Spectrogram 1	1	50.4	54.799	200.0	2500.0	BOAN	0.97	SMA03251_20210605_194000.wav
22	Spectrogram 1	1	55.6	57.59899999999997	200.0	2500.0	BOAN	0.75	SMA03251_20210605_194000.wav
1	Spectrogram 1	1	7.2	9.199000000000023	200.0	2500.0	BOAN	0.8	SMA03393_20210609_200000.wav
2	Spectrogram 1	1	8.0	10.399000000000001	200.0	2500.0	BOAN	0.85	SMA03393_20210609_200000.wav
3	Spectrogram 1	1	10.8	12.798999999999968	200.0	2500.0	BOAN	0.82	SMA03393_20210609_200000.wav
4	Spectrogram 1	1	11.6	13.598999999999966	200.0	2500.0	BOAN	0.99	SMA03393_20210609_200000.wav
5	Spectrogram 1	1	14.4	16.399000000000022	200.0	2500.0	BOAN	0.84	SMA03393_20210609_200000.wav
6	Spectrogram 1	1	23.6	25.59899999999997	200.0	2500.0	BOAN	0.86	SMA03393_20210609_200000.wav
7	Spectrogram 1	1	27.6	29.59899999999997	200.0	2500.0	BOAN	0.9	SMA03393_20210609_200000.wav
8	Spectrogram 1	1	33.2	35.19900000000003	200.0	2500.0	BOAN	0.77	SMA03393_20210609_200000.wav
9	Spectrogram 1	1	34.4	36.799	200.0	2500.0	BOAN	0.89	SMA03393_20210609_200000.wav
10	Spectrogram 1	1	35.6	37.59899999999997	200.0	2500.0	BOAN	0.85	SMA03393_20210609_200000.wav
