Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	Coereba flaveola	0.011609977324263039	1.822766439909297	4629.638671875	9840.673828125	0
2	Spectrogram 1	1	Coereba flaveola	7.87156462585034	9.125442176870749	5490.966796875	10120.60546875	0
3	Spectrogram 1	1	Call bird 2	10.495419501133787	10.762448979591836	5534.033203125	7385.888671875	0
4	Spectrogram 1	1	Coereba flaveola	11.888616780045352	13.432743764172336	5426.3671875	10163.671875	0
5	Spectrogram 1	1	Saltator maximus	14.55891156462585	14.779501133786848	9431.54296875	9905.2734375	1
6	Spectrogram 1	1	Coereba flaveola	14.570521541950113	14.721451247165533	14276.513671875	16408.30078125	1
7	Spectrogram 1	1	Call bird 2	18.436643990929706	18.784943310657596	5943.1640625	8397.94921875	0
8	Spectrogram 1	1	Call bird 2	20.66575963718821	21.0140589569161	4500.439453125	6869.091796875	0
9	Spectrogram 1	1	Coereba flaveola	21.39718820861678	23.010975056689343	5921.630859375	10379.00390625	1
10	Spectrogram 1	1	Coereba flaveola	27.2021768707483	28.24707482993197	4392.7734375	9926.806640625	0
11	Spectrogram 1	1	Call bird 2	29.709931972789114	30.081451247165532	4048.2421875	6567.626953125	0
12	Spectrogram 1	1	Saltator maximus	30.394920634920634	30.91736961451247	6244.62890625	7084.423828125	0
13	Spectrogram 1	1	Call bird 2	32.496326530612244	32.80979591836735	4672.705078125	6782.958984375	0
14	Spectrogram 1	1	Coereba flaveola	32.90267573696145	34.365532879818595	4220.5078125	10012.939453125	0
15	Spectrogram 1	1	Coereba flaveola	38.66122448979592	40.13569160997732	5857.03125	9948.33984375	0
16	Spectrogram 1	1	Saltator maximus	56.21551020408163	56.66829931972789	6503.02734375	7299.755859375	1
