Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	Hyloxalus	0.08126984126984127	0.3250793650793651	4457.373046875	4823.4375	0
2	Spectrogram 1	1	Call bird 2	0.5340589569160997	0.893968253968254	3682.177734375	7170.556640625	0
3	Spectrogram 1	1	Hyloxalus	1.1261678004535147	1.4280272108843537	4306.640625	4888.037109375	0
4	Spectrogram 1	1	Hyloxalus	2.8328344671201813	3.111473922902494	4392.7734375	4888.037109375	0
5	Spectrogram 1	1	Hyloxalus	3.297233560090703	3.633922902494331	4306.640625	4952.63671875	0
6	Spectrogram 1	1	Hyloxalus	4.818140589569161	5.154829931972789	4414.306640625	4909.5703125	0
7	Spectrogram 1	1	Hyloxalus	5.270929705215419	5.5495691609977325	4328.173828125	5081.8359375	0
8	Spectrogram 1	1	Hyloxalus	5.758548752834467	6.048798185941043	4392.7734375	4888.037109375	0
9	Spectrogram 1	1	Hyloxalus	7.267845804988662	7.63936507936508	4285.107421875	4909.5703125	0
10	Spectrogram 1	1	Hyloxalus	7.767074829931973	8.092154195011338	4371.240234375	4866.50390625	0
11	Spectrogram 1	1	Call bird 2	8.324353741496598	8.695873015873016	4285.107421875	7278.22265625	0
12	Spectrogram 1	1	Hyloxalus	9.833650793650794	10.12390022675737	4414.306640625	4888.037109375	0
13	Spectrogram 1	1	Call bird 2	10.32126984126984	10.646349206349207	4306.640625	5749.365234375	1
14	Spectrogram 1	1	Hyloxalus	11.366167800453514	11.633197278911565	4457.373046875	4866.50390625	0
15	Spectrogram 1	1	Call bird 2	11.900226757369614	12.236916099773243	4112.841796875	7041.357421875	0
16	Spectrogram 1	1	Hyloxalus	12.45750566893424	12.759365079365079	4349.70703125	4888.037109375	0
17	Spectrogram 1	1	Hyloxalus	13.467573696145125	13.722993197278912	4414.306640625	4844.970703125	0
18	Spectrogram 1	1	Call bird 2	14.02485260770975	14.837551020408164	4177.44140625	6933.69140625	0
19	Spectrogram 1	1	Call bird 2	15.719909297052155	16.01015873015873	4134.375	6955.224609375	1
20	Spectrogram 1	1	Call bird 2	18.854603174603174	19.168072562358276	4306.640625	6007.763671875	1
21	Spectrogram 1	1	Hyloxalus	19.87628117913832	20.259410430839	4371.240234375	4866.50390625	0
22	Spectrogram 1	1	Call bird 2	20.003990929705214	20.28263038548753	6416.89453125	8505.615234375	0
23	Spectrogram 1	1	Hyloxalus	21.43201814058957	21.722267573696143	4392.7734375	4823.4375	0
24	Spectrogram 1	1	Hyloxalus	21.93124716553288	22.140226757369614	4414.306640625	4801.904296875	0
25	Spectrogram 1	1	Call bird 2	22.593015873015872	23.022585034013606	3940.576171875	7278.22265625	0
26	Spectrogram 1	1	Call bird 2	25.959909297052153	26.284988662131518	4220.5078125	6632.2265625	0
27	Spectrogram 1	1	Call bird 2	27.411156462585033	27.713015873015873	2670.1171875	7493.5546875	0
28	Spectrogram 1	1	Call bird 2	29.18748299319728	29.477732426303856	4220.5078125	7235.15625	0
29	Spectrogram 1	1	Call bird 2	30.53424036281179	31.13795918367347	3789.84375	6739.892578125	1
30	Spectrogram 1	1	Call bird 2	32.14802721088435	32.41505668934241	4521.97265625	6029.296875	1
31	Spectrogram 1	1	Call bird 2	33.85469387755102	34.13333333333333	4651.171875	6869.091796875	0
32	Spectrogram 1	1	Call bird 2	36.501768707482995	36.85006802721088	4026.708984375	7127.490234375	0
33	Spectrogram 1	1	Call bird 2	38.0691156462585	38.32453514739229	4263.57421875	6546.09375	0
34	Spectrogram 1	1	Call bird 2	39.671292517006805	39.96154195011338	4672.705078125	6890.625	0
35	Spectrogram 1	1	Call bird 2	41.087709750566894	41.50566893424036	4263.57421875	7149.0234375	0
36	Spectrogram 1	1	Call bird 2	43.68834467120181	44.01342403628118	4242.041015625	6998.291015625	0
37	Spectrogram 1	1	Call bird 2	45.44145124716553	45.731700680272105	4177.44140625	6503.02734375	0
38	Spectrogram 1	1	Call bird 2	47.71700680272109	48.00725623582766	4565.0390625	7170.556640625	0
39	Spectrogram 1	1	Call bird 2	52.25650793650794	52.523537414965986	4543.505859375	5943.1640625	0
