Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	1.6	4.398999999999978	400.0	3000.0	FUSC	0.81
2	Spectrogram 1	1	8.4	11.19899999999998	400.0	3000.0	FUSC	0.84
3	Spectrogram 1	1	15.2	17.59900000000034	400.0	3000.0	FUSC	0.81
4	Spectrogram 1	1	16.4	18.398999999999795	400.0	3000.0	FUSC	0.8
5	Spectrogram 1	1	18.4	20.398999999999795	400.0	3000.0	FUSC	0.79
6	Spectrogram 1	1	28.0	30.798999999999975	400.0	3000.0	FUSC	0.89
7	Spectrogram 1	1	32.0	33.9989999999998	400.0	3000.0	FUSC	0.79
8	Spectrogram 1	1	44.0	46.39899999999989	400.0	3000.0	FUSC	0.81
9	Spectrogram 1	1	54.8	57.19899999999989	400.0	3000.0	FUSC	0.79
10	Spectrogram 1	1	58.0	59.9989999999998	400.0	3000.0	FUSC	0.75
