Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	36.4	38.798999999999886	0.0	7200.0	DEND	0.87
2	Spectrogram 1	1	37.6	39.99900000000012	0.0	7200.0	DEND	0.97
3	Spectrogram 1	1	38.8	41.598999999999975	0.0	7200.0	DEND	0.97
4	Spectrogram 1	1	4.8	6.798999999999796	400.0	3000.0	FUSC	0.81
5	Spectrogram 1	1	5.6	7.599000000000251	400.0	3000.0	FUSC	0.78
6	Spectrogram 1	1	7.6	9.59900000000025	400.0	3000.0	FUSC	0.76
7	Spectrogram 1	1	10.0	12.398999999999887	400.0	3000.0	FUSC	0.79
8	Spectrogram 1	1	11.2	13.19900000000025	400.0	3000.0	FUSC	0.77
9	Spectrogram 1	1	36.0	37.9989999999998	400.0	3000.0	FUSC	0.79
10	Spectrogram 1	1	36.8	38.79899999999979	400.0	3000.0	FUSC	0.81
11	Spectrogram 1	1	50.8	53.19899999999989	400.0	3000.0	FUSC	0.84
