Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	5.2	7.199000000000024	400.0	3000.0	FUSC	0.8
2	Spectrogram 1	1	12.8	15.199000000000002	400.0	3000.0	FUSC	0.85
3	Spectrogram 1	1	25.2	27.199000000000023	400.0	3000.0	FUSC	0.86
4	Spectrogram 1	1	32.8	34.79899999999999	400.0	3000.0	FUSC	0.81
5	Spectrogram 1	1	38.4	40.399	400.0	3000.0	FUSC	0.84
6	Spectrogram 1	1	39.2	41.19900000000003	400.0	3000.0	FUSC	0.8
7	Spectrogram 1	1	40.8	42.79899999999999	400.0	3000.0	FUSC	0.8
8	Spectrogram 1	1	42.8	45.598999999999975	400.0	3000.0	FUSC	0.87
9	Spectrogram 1	1	45.6	47.599	400.0	3000.0	FUSC	0.84
10	Spectrogram 1	1	47.2	49.599	400.0	3000.0	FUSC	0.89
11	Spectrogram 1	1	51.6	53.999	400.0	3000.0	FUSC	0.81
