Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.0	1.999000000000024	200.0	2500.0	BOAN	0.75
2	Spectrogram 1	1	1.6	4.798999999999955	200.0	2500.0	BOAN	0.92
3	Spectrogram 1	1	3.6	6.398999999999978	200.0	2500.0	BOAN	0.9
4	Spectrogram 1	1	5.2	7.19899999999991	200.0	2500.0	BOAN	0.82
5	Spectrogram 1	1	6.0	7.999000000000024	200.0	2500.0	BOAN	0.79
6	Spectrogram 1	1	8.4	10.399000000000024	200.0	2500.0	BOAN	0.78
7	Spectrogram 1	1	9.6	11.599000000000023	200.0	2500.0	BOAN	0.8
8	Spectrogram 1	1	10.8	12.799000000000024	200.0	2500.0	BOAN	0.9
9	Spectrogram 1	1	11.6	13.599000000000023	200.0	2500.0	BOAN	0.8
10	Spectrogram 1	1	12.4	14.799	200.0	2500.0	BOAN	0.81
11	Spectrogram 1	1	15.2	17.19899999999991	200.0	2500.0	BOAN	0.83
12	Spectrogram 1	1	17.2	20.398999999999955	200.0	2500.0	BOAN	0.95
13	Spectrogram 1	1	19.6	21.599000000000025	200.0	2500.0	BOAN	0.83
14	Spectrogram 1	1	24.4	26.399000000000022	200.0	2500.0	BOAN	0.92
15	Spectrogram 1	1	25.2	27.19899999999991	200.0	2500.0	BOAN	0.76
16	Spectrogram 1	1	28.4	30.399000000000022	200.0	2500.0	BOAN	0.79
17	Spectrogram 1	1	30.0	32.399	200.0	2500.0	BOAN	0.88
18	Spectrogram 1	1	31.2	33.19899999999991	200.0	2500.0	BOAN	0.77
19	Spectrogram 1	1	32.4	34.799	200.0	2500.0	BOAN	0.88
20	Spectrogram 1	1	33.6	36.79899999999996	200.0	2500.0	BOAN	1.0
21	Spectrogram 1	1	36.4	38.39900000000002	200.0	2500.0	BOAN	0.95
22	Spectrogram 1	1	40.8	42.79900000000002	200.0	2500.0	BOAN	0.82
23	Spectrogram 1	1	43.6	47.198999999999934	200.0	2500.0	BOAN	0.97
24	Spectrogram 1	1	46.0	47.99900000000002	200.0	2500.0	BOAN	0.75
25	Spectrogram 1	1	48.0	49.99900000000002	200.0	2500.0	BOAN	0.77
26	Spectrogram 1	1	49.2	51.19899999999991	200.0	2500.0	BOAN	0.77
27	Spectrogram 1	1	51.2	53.599	200.0	2500.0	BOAN	0.86
28	Spectrogram 1	1	57.2	59.19899999999991	200.0	2500.0	BOAN	0.75
