Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.0	1.999000000000024	300.0	3500.0	FRAG	0.9
2	Spectrogram 1	1	5.6	7.599000000000023	300.0	3500.0	FRAG	0.81
3	Spectrogram 1	1	16.0	17.999000000000024	300.0	3500.0	FRAG	0.86
4	Spectrogram 1	1	16.8	18.799000000000024	300.0	3500.0	FRAG	0.95
5	Spectrogram 1	1	26.0	27.999000000000024	300.0	3500.0	FRAG	0.76
6	Spectrogram 1	1	28.0	30.398999999999887	300.0	3500.0	FRAG	0.91
7	Spectrogram 1	1	56.4	59.19899999999998	300.0	3500.0	FRAG	0.92
8	Spectrogram 1	1	58.0	59.99900000000002	300.0	3500.0	FRAG	0.89
9	Spectrogram 1	1	2.0	3.999000000000024	400.0	3000.0	FUSC	0.86
10	Spectrogram 1	1	7.2	9.199000000000025	400.0	3000.0	FUSC	0.77
11	Spectrogram 1	1	14.8	16.798999999999968	400.0	3000.0	FUSC	0.81
12	Spectrogram 1	1	33.6	35.59899999999997	400.0	3000.0	FUSC	0.82
13	Spectrogram 1	1	34.4	36.39900000000002	400.0	3000.0	FUSC	0.79
14	Spectrogram 1	1	35.6	37.59899999999997	400.0	3000.0	FUSC	0.75
15	Spectrogram 1	1	39.2	41.19900000000003	400.0	3000.0	FUSC	0.78
16	Spectrogram 1	1	46.0	48.399	400.0	3000.0	FUSC	0.9
17	Spectrogram 1	1	51.2	53.19900000000003	400.0	3000.0	FUSC	0.75
18	Spectrogram 1	1	53.2	55.99900000000004	400.0	3000.0	FUSC	0.9
19	Spectrogram 1	1	57.6	59.59899999999997	400.0	3000.0	FUSC	0.84
