Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	2.0	3.999000000000024	300.0	3500.0	FRAG	0.9
2	Spectrogram 1	1	4.4	6.398999999999797	300.0	3500.0	FRAG	0.85
3	Spectrogram 1	1	6.8	8.799000000000024	300.0	3500.0	FRAG	0.98
4	Spectrogram 1	1	10.8	12.799000000000024	300.0	3500.0	FRAG	0.87
5	Spectrogram 1	1	20.8	23.199000000000115	300.0	3500.0	FRAG	0.87
6	Spectrogram 1	1	22.0	23.999000000000024	300.0	3500.0	FRAG	0.89
7	Spectrogram 1	1	30.8	34.39899999999993	300.0	3500.0	FRAG	0.99
8	Spectrogram 1	1	33.6	35.599000000000025	300.0	3500.0	FRAG	0.89
9	Spectrogram 1	1	34.8	37.19900000000011	300.0	3500.0	FRAG	0.88
10	Spectrogram 1	1	36.0	37.99900000000002	300.0	3500.0	FRAG	0.94
11	Spectrogram 1	1	36.8	38.79900000000002	300.0	3500.0	FRAG	0.78
12	Spectrogram 1	1	37.6	39.599000000000025	300.0	3500.0	FRAG	0.81
13	Spectrogram 1	1	38.4	40.3989999999998	300.0	3500.0	FRAG	0.88
14	Spectrogram 1	1	39.6	41.99900000000012	300.0	3500.0	FRAG	0.89
15	Spectrogram 1	1	43.2	45.99899999999998	300.0	3500.0	FRAG	0.87
16	Spectrogram 1	1	48.4	50.798999999999886	300.0	3500.0	FRAG	0.92
17	Spectrogram 1	1	49.6	51.599000000000025	300.0	3500.0	FRAG	0.93
18	Spectrogram 1	1	51.2	53.19900000000003	300.0	3500.0	FRAG	0.93
19	Spectrogram 1	1	52.0	53.99900000000002	300.0	3500.0	FRAG	0.87
20	Spectrogram 1	1	52.8	55.598999999999975	300.0	3500.0	FRAG	0.93
21	Spectrogram 1	1	54.4	56.3989999999998	300.0	3500.0	FRAG	0.98
22	Spectrogram 1	1	55.2	57.99899999999998	300.0	3500.0	FRAG	0.99
23	Spectrogram 1	1	56.8	58.79900000000002	300.0	3500.0	FRAG	0.87
24	Spectrogram 1	1	28.0	29.999000000000024	400.0	3000.0	FUSC	0.81
25	Spectrogram 1	1	29.2	31.199000000000023	400.0	3000.0	FUSC	0.78
26	Spectrogram 1	1	32.0	33.999000000000024	400.0	3000.0	FUSC	0.78
