Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.0	2.798999999999978	200.0	2500.0	BOAN	0.89
2	Spectrogram 1	1	3.6	5.5989999999999664	200.0	2500.0	BOAN	0.84
3	Spectrogram 1	1	5.2	7.999000000000035	200.0	2500.0	BOAN	0.91
4	Spectrogram 1	1	10.0	11.999000000000024	200.0	2500.0	BOAN	0.8
5	Spectrogram 1	1	14.0	15.999000000000024	200.0	2500.0	BOAN	0.85
6	Spectrogram 1	1	14.8	16.798999999999968	200.0	2500.0	BOAN	0.91
7	Spectrogram 1	1	17.2	19.199000000000023	200.0	2500.0	BOAN	0.89
8	Spectrogram 1	1	18.0	19.999000000000024	200.0	2500.0	BOAN	0.84
9	Spectrogram 1	1	18.8	20.798999999999968	200.0	2500.0	BOAN	0.87
10	Spectrogram 1	1	19.6	21.59899999999997	200.0	2500.0	BOAN	0.78
11	Spectrogram 1	1	21.2	23.599	200.0	2500.0	BOAN	0.86
12	Spectrogram 1	1	22.4	25.59900000000001	200.0	2500.0	BOAN	0.97
13	Spectrogram 1	1	32.4	34.39900000000002	200.0	2500.0	BOAN	0.79
14	Spectrogram 1	1	33.2	35.19900000000003	200.0	2500.0	BOAN	0.79
15	Spectrogram 1	1	35.2	37.19900000000003	200.0	2500.0	BOAN	0.86
16	Spectrogram 1	1	37.6	39.999	200.0	2500.0	BOAN	0.98
17	Spectrogram 1	1	40.8	42.79899999999997	200.0	2500.0	BOAN	0.88
18	Spectrogram 1	1	45.2	47.599	200.0	2500.0	BOAN	0.8
19	Spectrogram 1	1	48.8	50.79899999999997	200.0	2500.0	BOAN	0.83
20	Spectrogram 1	1	49.6	52.39899999999998	200.0	2500.0	BOAN	0.95
21	Spectrogram 1	1	52.0	53.99900000000002	200.0	2500.0	BOAN	0.86
22	Spectrogram 1	1	53.6	55.59899999999997	200.0	2500.0	BOAN	0.76
23	Spectrogram 1	1	54.4	56.799	200.0	2500.0	BOAN	0.82
24	Spectrogram 1	1	7.2	9.199000000000025	400.0	3000.0	FUSC	0.84
25	Spectrogram 1	1	8.4	11.199000000000035	400.0	3000.0	FUSC	0.87
26	Spectrogram 1	1	12.0	13.999000000000024	400.0	3000.0	FUSC	0.77
27	Spectrogram 1	1	13.6	15.598999999999966	400.0	3000.0	FUSC	0.84
28	Spectrogram 1	1	21.2	23.199000000000023	400.0	3000.0	FUSC	0.76
29	Spectrogram 1	1	28.0	29.999000000000024	400.0	3000.0	FUSC	0.79
30	Spectrogram 1	1	30.0	32.79899999999998	400.0	3000.0	FUSC	0.83
31	Spectrogram 1	1	34.8	36.79899999999997	400.0	3000.0	FUSC	0.78
32	Spectrogram 1	1	35.6	38.39899999999998	400.0	3000.0	FUSC	0.85
33	Spectrogram 1	1	38.0	39.99900000000002	400.0	3000.0	FUSC	0.8
34	Spectrogram 1	1	38.8	40.79899999999997	400.0	3000.0	FUSC	0.79
35	Spectrogram 1	1	39.6	41.59899999999997	400.0	3000.0	FUSC	0.81
36	Spectrogram 1	1	42.4	44.799	400.0	3000.0	FUSC	0.83
37	Spectrogram 1	1	52.4	54.39900000000002	400.0	3000.0	FUSC	0.79
