Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	1.6	3.599000000000024	400.0	3000.0	FUSC	0.83
2	Spectrogram 1	1	3.2	5.998999999999978	400.0	3000.0	FUSC	0.87
3	Spectrogram 1	1	5.2	7.199000000000024	400.0	3000.0	FUSC	0.76
4	Spectrogram 1	1	22.0	24.398999999999887	400.0	3000.0	FUSC	0.89
5	Spectrogram 1	1	24.0	26.398999999999887	400.0	3000.0	FUSC	0.78
6	Spectrogram 1	1	31.6	33.599000000000025	400.0	3000.0	FUSC	0.84
7	Spectrogram 1	1	40.4	42.3989999999998	400.0	3000.0	FUSC	0.8
8	Spectrogram 1	1	41.2	43.19900000000003	400.0	3000.0	FUSC	0.82
9	Spectrogram 1	1	52.8	54.79900000000002	400.0	3000.0	FUSC	0.79
10	Spectrogram 1	1	54.8	56.79900000000002	400.0	3000.0	FUSC	0.83
