Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.0	2.798999999999978	300.0	3500.0	FRAG	0.94
2	Spectrogram 1	1	1.6	4.398999999999978	300.0	3500.0	FRAG	0.95
3	Spectrogram 1	1	3.2	5.599000000000001	300.0	3500.0	FRAG	0.87
4	Spectrogram 1	1	5.6	8.398999999999978	300.0	3500.0	FRAG	0.88
5	Spectrogram 1	1	8.8	11.199000000000002	300.0	3500.0	FRAG	0.92
6	Spectrogram 1	1	11.2	13.599	300.0	3500.0	FRAG	0.92
7	Spectrogram 1	1	13.2	16.79899999999999	300.0	3500.0	FRAG	0.96
8	Spectrogram 1	1	36.4	38.39900000000002	300.0	3500.0	FRAG	0.97
9	Spectrogram 1	1	50.8	52.79899999999997	300.0	3500.0	FRAG	0.77
10	Spectrogram 1	1	54.4	58.39900000000002	300.0	3500.0	FRAG	0.97
