Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	9.6	11.598999999999966	300.0	3500.0	FRAG	0.79
2	Spectrogram 1	1	10.4	12.399000000000024	300.0	3500.0	FRAG	0.97
3	Spectrogram 1	1	11.6	13.598999999999966	300.0	3500.0	FRAG	0.92
4	Spectrogram 1	1	18.4	20.399000000000022	300.0	3500.0	FRAG	0.9
5	Spectrogram 1	1	20.0	21.999000000000024	300.0	3500.0	FRAG	0.99
6	Spectrogram 1	1	20.8	24.39899999999999	300.0	3500.0	FRAG	0.93
7	Spectrogram 1	1	29.2	31.199000000000023	300.0	3500.0	FRAG	0.84
8	Spectrogram 1	1	34.0	35.999000000000024	300.0	3500.0	FRAG	0.83
9	Spectrogram 1	1	35.6	37.59899999999997	300.0	3500.0	FRAG	0.83
10	Spectrogram 1	1	36.8	41.99900000000001	300.0	3500.0	FRAG	0.99
11	Spectrogram 1	1	40.8	43.199	300.0	3500.0	FRAG	0.84
12	Spectrogram 1	1	48.0	50.399	300.0	3500.0	FRAG	0.92
13	Spectrogram 1	1	49.2	52.399000000000015	300.0	3500.0	FRAG	0.98
