Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.0	1.999000000000024	200.0	2500.0	BOAN	0.94
2	Spectrogram 1	1	0.8	4.399000000000046	200.0	2500.0	BOAN	0.97
3	Spectrogram 1	1	3.2	5.19899999999991	200.0	2500.0	BOAN	0.77
4	Spectrogram 1	1	4.0	5.999000000000024	200.0	2500.0	BOAN	0.89
5	Spectrogram 1	1	6.4	10.399000000000024	200.0	2500.0	BOAN	0.95
6	Spectrogram 1	1	9.2	11.599	200.0	2500.0	BOAN	0.83
7	Spectrogram 1	1	10.4	12.799	200.0	2500.0	BOAN	0.8
8	Spectrogram 1	1	13.6	16.39899999999998	200.0	2500.0	BOAN	0.96
9	Spectrogram 1	1	16.0	19.599000000000046	200.0	2500.0	BOAN	0.91
10	Spectrogram 1	1	20.4	22.799	200.0	2500.0	BOAN	0.83
11	Spectrogram 1	1	22.8	24.799000000000024	200.0	2500.0	BOAN	0.94
12	Spectrogram 1	1	23.6	26.39899999999998	200.0	2500.0	BOAN	0.9
13	Spectrogram 1	1	25.2	27.998999999999977	200.0	2500.0	BOAN	0.87
14	Spectrogram 1	1	27.2	29.998999999999977	200.0	2500.0	BOAN	0.89
15	Spectrogram 1	1	29.2	31.599	200.0	2500.0	BOAN	0.96
16	Spectrogram 1	1	32.4	34.39900000000002	200.0	2500.0	BOAN	0.8
17	Spectrogram 1	1	34.4	37.19899999999998	200.0	2500.0	BOAN	0.91
18	Spectrogram 1	1	36.0	37.99900000000002	200.0	2500.0	BOAN	0.89
19	Spectrogram 1	1	36.8	38.79900000000002	200.0	2500.0	BOAN	0.83
20	Spectrogram 1	1	37.6	41.599000000000025	200.0	2500.0	BOAN	0.94
21	Spectrogram 1	1	40.8	42.79900000000002	200.0	2500.0	BOAN	0.95
22	Spectrogram 1	1	41.6	45.198999999999934	200.0	2500.0	BOAN	0.97
23	Spectrogram 1	1	44.0	45.99900000000002	200.0	2500.0	BOAN	0.97
24	Spectrogram 1	1	44.8	49.199	200.0	2500.0	BOAN	0.95
25	Spectrogram 1	1	48.0	50.79899999999998	200.0	2500.0	BOAN	0.94
26	Spectrogram 1	1	49.6	51.999	200.0	2500.0	BOAN	0.84
27	Spectrogram 1	1	51.6	53.599000000000025	200.0	2500.0	BOAN	0.92
28	Spectrogram 1	1	52.4	54.39900000000002	200.0	2500.0	BOAN	0.95
29	Spectrogram 1	1	54.0	56.399	200.0	2500.0	BOAN	0.98
30	Spectrogram 1	1	56.0	59.99900000000002	200.0	2500.0	BOAN	0.96
