Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.8	2.7990000000000235	300.0	3500.0	FRAG	0.93
2	Spectrogram 1	1	1.6	3.599000000000024	300.0	3500.0	FRAG	0.81
3	Spectrogram 1	1	5.6	7.599000000000023	300.0	3500.0	FRAG	0.76
4	Spectrogram 1	1	9.6	11.599000000000023	300.0	3500.0	FRAG	0.87
5	Spectrogram 1	1	14.0	15.999000000000024	300.0	3500.0	FRAG	0.86
6	Spectrogram 1	1	15.2	17.998999999999977	300.0	3500.0	FRAG	0.94
7	Spectrogram 1	1	16.8	18.799000000000024	300.0	3500.0	FRAG	0.76
8	Spectrogram 1	1	20.4	22.398999999999795	300.0	3500.0	FRAG	0.85
9	Spectrogram 1	1	34.0	35.999000000000024	300.0	3500.0	FRAG	0.82
10	Spectrogram 1	1	36.4	39.19899999999998	300.0	3500.0	FRAG	0.94
11	Spectrogram 1	1	43.6	45.599000000000025	300.0	3500.0	FRAG	0.83
12	Spectrogram 1	1	49.6	51.599000000000025	300.0	3500.0	FRAG	0.78
13	Spectrogram 1	1	50.8	53.19900000000011	300.0	3500.0	FRAG	0.85
14	Spectrogram 1	1	52.0	53.99900000000002	300.0	3500.0	FRAG	0.79
