Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	4.0	6.798999999999978	400.0	3000.0	FUSC	0.82
2	Spectrogram 1	1	6.0	8.798999999999978	400.0	3000.0	FUSC	0.9
3	Spectrogram 1	1	13.2	15.199000000000025	400.0	3000.0	FUSC	0.79
4	Spectrogram 1	1	14.0	15.999000000000024	400.0	3000.0	FUSC	0.79
5	Spectrogram 1	1	17.2	19.199000000000023	400.0	3000.0	FUSC	0.79
6	Spectrogram 1	1	23.2	25.199000000000023	400.0	3000.0	FUSC	0.76
7	Spectrogram 1	1	25.2	27.199000000000023	400.0	3000.0	FUSC	0.76
8	Spectrogram 1	1	46.4	48.3989999999998	400.0	3000.0	FUSC	0.77
9	Spectrogram 1	1	47.2	49.19900000000003	400.0	3000.0	FUSC	0.76
10	Spectrogram 1	1	48.4	50.798999999999886	400.0	3000.0	FUSC	0.85
