Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.0	2.399000000000001	200.0	2500.0	BOAN	0.93
2	Spectrogram 1	1	1.2	5.998999999999978	200.0	2500.0	BOAN	0.99
3	Spectrogram 1	1	4.8	6.799000000000024	200.0	2500.0	BOAN	0.92
4	Spectrogram 1	1	5.6	9.999	200.0	2500.0	BOAN	1.0
5	Spectrogram 1	1	12.0	15.999000000000024	200.0	2500.0	BOAN	0.99
6	Spectrogram 1	1	17.6	19.599000000000025	200.0	2500.0	BOAN	0.84
7	Spectrogram 1	1	18.8	20.799000000000024	200.0	2500.0	BOAN	0.85
8	Spectrogram 1	1	21.2	23.599	200.0	2500.0	BOAN	0.99
9	Spectrogram 1	1	22.4	24.399000000000022	200.0	2500.0	BOAN	0.78
10	Spectrogram 1	1	30.8	32.79900000000002	200.0	2500.0	BOAN	0.75
11	Spectrogram 1	1	32.8	36.39900000000004	200.0	2500.0	BOAN	0.96
12	Spectrogram 1	1	35.2	38.798999999999936	200.0	2500.0	BOAN	0.89
13	Spectrogram 1	1	39.6	42.79899999999996	200.0	2500.0	BOAN	0.9
14	Spectrogram 1	1	42.0	43.99900000000002	200.0	2500.0	BOAN	0.95
15	Spectrogram 1	1	42.8	47.59900000000009	200.0	2500.0	BOAN	0.97
16	Spectrogram 1	1	48.4	50.39900000000002	200.0	2500.0	BOAN	0.78
17	Spectrogram 1	1	54.8	56.79900000000002	200.0	2500.0	BOAN	0.8
18	Spectrogram 1	1	55.6	57.599000000000025	200.0	2500.0	BOAN	0.89
19	Spectrogram 1	1	58.0	59.99900000000002	200.0	2500.0	BOAN	0.94
