Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.0	1.999000000000024	300.0	3500.0	FRAG	0.96
2	Spectrogram 1	1	2.4	4.799000000000001	300.0	3500.0	FRAG	0.89
3	Spectrogram 1	1	6.0	7.999000000000024	300.0	3500.0	FRAG	0.79
4	Spectrogram 1	1	7.2	10.398999999999957	300.0	3500.0	FRAG	0.94
5	Spectrogram 1	1	16.0	17.999000000000024	300.0	3500.0	FRAG	0.87
6	Spectrogram 1	1	17.2	19.998999999999977	300.0	3500.0	FRAG	0.89
7	Spectrogram 1	1	19.2	21.19899999999991	300.0	3500.0	FRAG	0.91
8	Spectrogram 1	1	23.6	25.599000000000025	300.0	3500.0	FRAG	0.88
9	Spectrogram 1	1	24.4	26.399000000000022	300.0	3500.0	FRAG	0.89
10	Spectrogram 1	1	25.2	27.19899999999991	300.0	3500.0	FRAG	0.78
11	Spectrogram 1	1	26.0	28.399	300.0	3500.0	FRAG	0.83
12	Spectrogram 1	1	28.8	30.799000000000024	300.0	3500.0	FRAG	0.85
13	Spectrogram 1	1	32.8	34.79900000000002	300.0	3500.0	FRAG	0.97
14	Spectrogram 1	1	36.0	37.99900000000002	300.0	3500.0	FRAG	0.91
15	Spectrogram 1	1	36.8	39.99900000000007	300.0	3500.0	FRAG	0.95
16	Spectrogram 1	1	40.4	42.39900000000002	300.0	3500.0	FRAG	0.85
17	Spectrogram 1	1	45.2	47.19899999999991	300.0	3500.0	FRAG	0.96
18	Spectrogram 1	1	46.4	48.39900000000002	300.0	3500.0	FRAG	0.79
19	Spectrogram 1	1	47.2	49.599	300.0	3500.0	FRAG	0.93
20	Spectrogram 1	1	52.0	53.99900000000002	300.0	3500.0	FRAG	0.85
21	Spectrogram 1	1	52.8	54.79900000000002	300.0	3500.0	FRAG	0.76
22	Spectrogram 1	1	53.6	56.39899999999998	300.0	3500.0	FRAG	0.93
23	Spectrogram 1	1	56.4	58.799	300.0	3500.0	FRAG	0.91
