Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	2.4	4.399000000000024	400.0	3100.0	DDPX	0.99
2	Spectrogram 1	1	5.6	7.999	400.0	3100.0	DDPX	0.88
3	Spectrogram 1	1	6.8	9.59899999999998	400.0	3100.0	DDPX	0.94
4	Spectrogram 1	1	10.4	12.399000000000024	400.0	3100.0	DDPX	0.96
5	Spectrogram 1	1	20.8	22.798999999999968	400.0	3100.0	DDPX	0.83
6	Spectrogram 1	1	21.6	23.59899999999997	400.0	3100.0	DDPX	0.82
7	Spectrogram 1	1	44.0	45.99900000000002	400.0	3100.0	DDPX	0.89
8	Spectrogram 1	1	26.0	28.798999999999975	200.0	1000.0	PTGN	0.99
9	Spectrogram 1	1	27.6	29.999	200.0	1000.0	PTGN	0.99
10	Spectrogram 1	1	29.2	31.599	200.0	1000.0	PTGN	1.0
11	Spectrogram 1	1	30.8	33.199	200.0	1000.0	PTGN	0.95
12	Spectrogram 1	1	32.4	34.39900000000002	200.0	1000.0	PTGN	0.97
