Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	5.6	9.19900000000016	400.0	3000.0	FUSC	0.87
2	Spectrogram 1	1	9.2	11.19900000000025	400.0	3000.0	FUSC	0.75
3	Spectrogram 1	1	12.0	13.998999999999796	400.0	3000.0	FUSC	0.77
4	Spectrogram 1	1	15.2	18.79900000000016	400.0	3000.0	FUSC	0.89
5	Spectrogram 1	1	22.8	24.7989999999998	400.0	3000.0	FUSC	0.78
6	Spectrogram 1	1	28.0	29.9989999999998	400.0	3000.0	FUSC	0.79
7	Spectrogram 1	1	35.6	37.99899999999989	400.0	3000.0	FUSC	0.87
8	Spectrogram 1	1	39.2	42.39900000000007	400.0	3000.0	FUSC	0.87
9	Spectrogram 1	1	42.8	45.19899999999989	400.0	3000.0	FUSC	0.77
10	Spectrogram 1	1	44.0	45.9989999999998	400.0	3000.0	FUSC	0.82
11	Spectrogram 1	1	44.8	46.79899999999979	400.0	3000.0	FUSC	0.8
12	Spectrogram 1	1	50.8	53.598999999999975	400.0	3000.0	FUSC	0.9
13	Spectrogram 1	1	53.6	55.59900000000025	400.0	3000.0	FUSC	0.83
