Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.0	3.199000000000069	200.0	1000.0	PTGN	1.0
2	Spectrogram 1	1	2.0	4.398999999999887	200.0	1000.0	PTGN	0.99
3	Spectrogram 1	1	4.0	7.199000000000069	200.0	1000.0	PTGN	0.99
4	Spectrogram 1	1	8.8	11.59899999999998	200.0	1000.0	PTGN	0.99
5	Spectrogram 1	1	12.0	13.999000000000024	200.0	1000.0	PTGN	0.84
6	Spectrogram 1	1	24.0	27.19900000000007	200.0	1000.0	PTGN	0.98
7	Spectrogram 1	1	26.4	30.398999999999795	200.0	1000.0	PTGN	1.0
8	Spectrogram 1	1	30.0	32.39899999999989	200.0	1000.0	PTGN	0.88
9	Spectrogram 1	1	31.6	34.39899999999998	200.0	1000.0	PTGN	1.0
10	Spectrogram 1	1	33.2	35.19900000000003	200.0	1000.0	PTGN	0.95
11	Spectrogram 1	1	36.4	38.3989999999998	200.0	1000.0	PTGN	0.76
12	Spectrogram 1	1	37.2	41.19900000000003	200.0	1000.0	PTGN	1.0
13	Spectrogram 1	1	54.0	56.39899999999989	200.0	1000.0	PTGN	0.97
14	Spectrogram 1	1	55.6	57.599000000000025	200.0	1000.0	PTGN	0.96
15	Spectrogram 1	1	56.4	58.3989999999998	200.0	1000.0	PTGN	0.99
