Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	7.2	9.19899999999991	0.0	7200.0	DEND	0.93
2	Spectrogram 1	1	38.8	41.199	0.0	7200.0	DEND	0.94
3	Spectrogram 1	1	58.0	59.99900000000002	0.0	7200.0	DEND	0.85
4	Spectrogram 1	1	0.8	3.1990000000000007	300.0	3500.0	FRAG	0.96
5	Spectrogram 1	1	3.6	5.9990000000000006	300.0	3500.0	FRAG	0.79
6	Spectrogram 1	1	4.8	6.799000000000024	300.0	3500.0	FRAG	0.85
7	Spectrogram 1	1	6.0	7.999000000000024	300.0	3500.0	FRAG	0.81
8	Spectrogram 1	1	9.6	11.599000000000023	300.0	3500.0	FRAG	0.93
9	Spectrogram 1	1	10.4	12.399000000000024	300.0	3500.0	FRAG	0.8
10	Spectrogram 1	1	14.4	16.399000000000022	300.0	3500.0	FRAG	0.8
11	Spectrogram 1	1	19.2	21.599	300.0	3500.0	FRAG	0.95
12	Spectrogram 1	1	20.8	22.799000000000024	300.0	3500.0	FRAG	0.77
13	Spectrogram 1	1	22.0	23.999000000000024	300.0	3500.0	FRAG	0.97
14	Spectrogram 1	1	26.4	28.399000000000022	300.0	3500.0	FRAG	0.85
15	Spectrogram 1	1	30.0	31.999000000000024	300.0	3500.0	FRAG	0.83
16	Spectrogram 1	1	30.8	32.79900000000002	300.0	3500.0	FRAG	0.87
17	Spectrogram 1	1	32.0	34.399	300.0	3500.0	FRAG	0.82
18	Spectrogram 1	1	34.0	35.999000000000024	300.0	3500.0	FRAG	0.82
19	Spectrogram 1	1	35.2	37.19899999999991	300.0	3500.0	FRAG	0.88
20	Spectrogram 1	1	39.2	41.19899999999991	300.0	3500.0	FRAG	0.77
21	Spectrogram 1	1	40.0	41.99900000000002	300.0	3500.0	FRAG	0.8
22	Spectrogram 1	1	41.2	43.19899999999991	300.0	3500.0	FRAG	0.84
23	Spectrogram 1	1	42.8	44.79900000000002	300.0	3500.0	FRAG	0.83
24	Spectrogram 1	1	47.6	49.599000000000025	300.0	3500.0	FRAG	0.84
25	Spectrogram 1	1	48.4	51.19899999999998	300.0	3500.0	FRAG	0.95
26	Spectrogram 1	1	50.0	52.79899999999998	300.0	3500.0	FRAG	0.86
27	Spectrogram 1	1	51.6	53.999	300.0	3500.0	FRAG	0.92
28	Spectrogram 1	1	54.4	56.39900000000002	300.0	3500.0	FRAG	0.79
