Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	1.2	3.199	200.0	2500.0	BOAN	0.92
2	Spectrogram 1	1	2.0	3.999	200.0	2500.0	BOAN	0.77
3	Spectrogram 1	1	8.8	10.799	200.0	2500.0	BOAN	0.92
4	Spectrogram 1	1	9.6	11.599	200.0	2500.0	BOAN	0.76
5	Spectrogram 1	1	12.8	14.799	200.0	2500.0	BOAN	0.77
6	Spectrogram 1	1	17.2	19.999	200.0	2500.0	BOAN	0.93
7	Spectrogram 1	1	25.2	27.599	200.0	2500.0	BOAN	0.76
8	Spectrogram 1	1	29.2	31.199	200.0	2500.0	BOAN	0.78
9	Spectrogram 1	1	35.2	37.599	200.0	2500.0	BOAN	0.9
10	Spectrogram 1	1	46.0	47.999	200.0	2500.0	BOAN	0.75
11	Spectrogram 1	1	46.8	48.799	200.0	2500.0	BOAN	0.93
12	Spectrogram 1	1	47.6	49.599	200.0	2500.0	BOAN	0.75
13	Spectrogram 1	1	49.2	52.399	200.0	2500.0	BOAN	0.92
14	Spectrogram 1	1	52.0	53.999	200.0	2500.0	BOAN	0.79
15	Spectrogram 1	1	55.2	57.199	200.0	2500.0	BOAN	0.92
16	Spectrogram 1	1	9.2	11.59900000000034	400.0	3000.0	FUSC	0.85
17	Spectrogram 1	1	10.4	12.398999999999797	400.0	3000.0	FUSC	0.82
18	Spectrogram 1	1	14.0	15.998999999999796	400.0	3000.0	FUSC	0.81
19	Spectrogram 1	1	14.8	16.798999999999797	400.0	3000.0	FUSC	0.84
20	Spectrogram 1	1	15.6	17.599000000000252	400.0	3000.0	FUSC	0.8
21	Spectrogram 1	1	20.4	22.398999999999795	400.0	3000.0	FUSC	0.8
22	Spectrogram 1	1	34.4	36.798999999999886	400.0	3000.0	FUSC	0.8
23	Spectrogram 1	1	36.0	38.39899999999989	400.0	3000.0	FUSC	0.8
24	Spectrogram 1	1	42.0	43.9989999999998	400.0	3000.0	FUSC	0.78
25	Spectrogram 1	1	43.6	45.59900000000025	400.0	3000.0	FUSC	0.75
26	Spectrogram 1	1	48.4	50.3989999999998	400.0	3000.0	FUSC	0.76
27	Spectrogram 1	1	52.4	54.3989999999998	400.0	3000.0	FUSC	0.78
