Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	4.0	5.999000000000024	400.0	3000.0	FUSC	0.77
2	Spectrogram 1	1	7.6	9.599000000000023	400.0	3000.0	FUSC	0.79
3	Spectrogram 1	1	10.8	12.799000000000024	400.0	3000.0	FUSC	0.87
4	Spectrogram 1	1	11.6	13.599000000000023	400.0	3000.0	FUSC	0.79
5	Spectrogram 1	1	14.8	16.799000000000024	400.0	3000.0	FUSC	0.86
6	Spectrogram 1	1	15.6	17.599000000000025	400.0	3000.0	FUSC	0.77
7	Spectrogram 1	1	19.6	21.99900000000012	400.0	3000.0	FUSC	0.79
8	Spectrogram 1	1	31.2	33.19900000000003	400.0	3000.0	FUSC	0.81
9	Spectrogram 1	1	32.4	34.398999999999795	400.0	3000.0	FUSC	0.81
10	Spectrogram 1	1	36.0	37.99900000000002	400.0	3000.0	FUSC	0.75
11	Spectrogram 1	1	37.6	39.599000000000025	400.0	3000.0	FUSC	0.89
12	Spectrogram 1	1	56.4	58.3989999999998	400.0	3000.0	FUSC	0.81
13	Spectrogram 1	1	57.6	59.99900000000012	400.0	3000.0	FUSC	0.82
