Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	10.8	13.199000000000115	400.0	3000.0	FUSC	0.82
2	Spectrogram 1	1	12.0	14.398999999999887	400.0	3000.0	FUSC	0.88
3	Spectrogram 1	1	14.8	16.799000000000024	400.0	3000.0	FUSC	0.79
4	Spectrogram 1	1	21.6	23.599000000000025	400.0	3000.0	FUSC	0.84
5	Spectrogram 1	1	33.6	35.99900000000012	400.0	3000.0	FUSC	0.87
6	Spectrogram 1	1	38.8	41.19900000000011	400.0	3000.0	FUSC	0.89
7	Spectrogram 1	1	40.0	42.39899999999989	400.0	3000.0	FUSC	0.83
8	Spectrogram 1	1	45.2	47.19900000000003	400.0	3000.0	FUSC	0.79
9	Spectrogram 1	1	47.2	49.19900000000003	400.0	3000.0	FUSC	0.77
10	Spectrogram 1	1	51.6	53.599000000000025	400.0	3000.0	FUSC	0.78
11	Spectrogram 1	1	54.0	55.99900000000002	400.0	3000.0	FUSC	0.77
12	Spectrogram 1	1	56.8	58.79900000000002	400.0	3000.0	FUSC	0.82
