Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	1.2	3.199000000000024	0.0	7200.0	DEND	0.98
2	Spectrogram 1	1	5.2	7.199000000000024	0.0	7200.0	DEND	0.99
3	Spectrogram 1	1	15.6	17.99900000000003	0.0	7200.0	DEND	0.99
4	Spectrogram 1	1	17.2	19.199000000000023	0.0	7200.0	DEND	0.88
5	Spectrogram 1	1	19.2	21.199000000000023	0.0	7200.0	DEND	0.95
6	Spectrogram 1	1	23.2	26.79899999999999	0.0	7200.0	DEND	1.0
7	Spectrogram 1	1	30.0	31.999000000000024	0.0	7200.0	DEND	0.91
8	Spectrogram 1	1	35.2	37.19900000000003	0.0	7200.0	DEND	0.82
9	Spectrogram 1	1	37.6	39.59899999999997	0.0	7200.0	DEND	0.82
10	Spectrogram 1	1	39.2	41.19900000000003	0.0	7200.0	DEND	0.84
11	Spectrogram 1	1	50.8	53.199	0.0	7200.0	DEND	0.84
12	Spectrogram 1	1	52.4	54.39900000000002	0.0	7200.0	DEND	0.78
13	Spectrogram 1	1	56.4	58.39900000000002	0.0	7200.0	DEND	0.76
