Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	2.4	4.399000000000024	300.0	3500.0	FRAG	0.83
2	Spectrogram 1	1	3.6	5.599000000000023	300.0	3500.0	FRAG	0.88
3	Spectrogram 1	1	12.0	14.798999999999978	300.0	3500.0	FRAG	0.95
4	Spectrogram 1	1	14.8	17.199	300.0	3500.0	FRAG	0.88
5	Spectrogram 1	1	17.6	19.599000000000025	300.0	3500.0	FRAG	0.93
6	Spectrogram 1	1	21.2	23.19899999999991	300.0	3500.0	FRAG	0.81
7	Spectrogram 1	1	23.6	25.599000000000025	300.0	3500.0	FRAG	0.85
8	Spectrogram 1	1	24.4	26.399000000000022	300.0	3500.0	FRAG	0.81
9	Spectrogram 1	1	26.4	28.799	300.0	3500.0	FRAG	0.86
10	Spectrogram 1	1	31.6	33.599000000000025	300.0	3500.0	FRAG	0.86
11	Spectrogram 1	1	34.8	37.199	300.0	3500.0	FRAG	0.88
12	Spectrogram 1	1	37.6	39.599000000000025	300.0	3500.0	FRAG	0.81
13	Spectrogram 1	1	39.2	41.19899999999991	300.0	3500.0	FRAG	0.8
14	Spectrogram 1	1	40.4	42.39900000000002	300.0	3500.0	FRAG	0.76
15	Spectrogram 1	1	43.6	45.599000000000025	300.0	3500.0	FRAG	0.81
16	Spectrogram 1	1	45.2	47.19899999999991	300.0	3500.0	FRAG	0.92
17	Spectrogram 1	1	52.8	57.199	300.0	3500.0	FRAG	0.94
18	Spectrogram 1	1	35.6	37.599000000000025	400.0	3000.0	FUSC	0.86
19	Spectrogram 1	1	37.2	39.19900000000003	400.0	3000.0	FUSC	0.86
20	Spectrogram 1	1	41.2	43.19900000000003	400.0	3000.0	FUSC	0.76
21	Spectrogram 1	1	44.0	46.39899999999989	400.0	3000.0	FUSC	0.82
22	Spectrogram 1	1	46.4	48.3989999999998	400.0	3000.0	FUSC	0.86
