Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	8.8	10.799000000000024	200.0	2500.0	BOAN	0.75
2	Spectrogram 1	1	10.4	12.399000000000024	200.0	2500.0	BOAN	0.78
3	Spectrogram 1	1	15.6	17.599000000000025	200.0	2500.0	BOAN	0.84
4	Spectrogram 1	1	23.6	25.599000000000025	200.0	2500.0	BOAN	0.8
5	Spectrogram 1	1	26.0	27.999000000000024	200.0	2500.0	BOAN	0.8
6	Spectrogram 1	1	36.4	38.39900000000002	200.0	2500.0	BOAN	0.93
7	Spectrogram 1	1	39.2	41.19899999999991	200.0	2500.0	BOAN	0.87
8	Spectrogram 1	1	40.4	42.39900000000002	200.0	2500.0	BOAN	0.9
9	Spectrogram 1	1	41.6	43.599000000000025	200.0	2500.0	BOAN	0.75
10	Spectrogram 1	1	44.4	47.59900000000007	200.0	2500.0	BOAN	0.96
11	Spectrogram 1	1	46.4	48.39900000000002	200.0	2500.0	BOAN	0.84
12	Spectrogram 1	1	47.2	50.798999999999936	200.0	2500.0	BOAN	0.91
13	Spectrogram 1	1	52.8	57.59900000000009	200.0	2500.0	BOAN	0.92
14	Spectrogram 1	1	2.4	4.399000000000024	400.0	3000.0	FUSC	0.81
15	Spectrogram 1	1	16.8	18.799000000000024	400.0	3000.0	FUSC	0.86
16	Spectrogram 1	1	44.4	46.39900000000002	400.0	3000.0	FUSC	0.76
17	Spectrogram 1	1	47.2	49.99899999999998	400.0	3000.0	FUSC	0.8
18	Spectrogram 1	1	57.2	59.19899999999991	400.0	3000.0	FUSC	0.75
