Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	8.8	10.799000000000024	300.0	3500.0	FRAG	0.76
2	Spectrogram 1	1	24.8	26.799000000000024	300.0	3500.0	FRAG	0.77
3	Spectrogram 1	1	26.4	28.399000000000022	300.0	3500.0	FRAG	0.84
4	Spectrogram 1	1	30.4	32.799	300.0	3500.0	FRAG	0.86
5	Spectrogram 1	1	32.8	35.199	300.0	3500.0	FRAG	0.8
6	Spectrogram 1	1	39.6	41.599000000000025	300.0	3500.0	FRAG	0.82
7	Spectrogram 1	1	46.0	47.99900000000002	300.0	3500.0	FRAG	0.83
8	Spectrogram 1	1	50.8	52.79900000000002	300.0	3500.0	FRAG	0.8
