Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.4	2.399000000000024	300.0	3500.0	FRAG	0.86
2	Spectrogram 1	1	1.2	5.599000000000001	300.0	3500.0	FRAG	0.98
3	Spectrogram 1	1	5.6	7.5989999999999664	300.0	3500.0	FRAG	0.87
4	Spectrogram 1	1	7.2	9.199000000000025	300.0	3500.0	FRAG	0.94
5	Spectrogram 1	1	10.4	12.399000000000024	300.0	3500.0	FRAG	0.8
6	Spectrogram 1	1	17.6	19.59899999999997	300.0	3500.0	FRAG	0.77
7	Spectrogram 1	1	28.0	29.999000000000024	300.0	3500.0	FRAG	0.81
8	Spectrogram 1	1	30.8	33.19899999999994	300.0	3500.0	FRAG	0.96
9	Spectrogram 1	1	40.0	42.399	300.0	3500.0	FRAG	0.82
10	Spectrogram 1	1	41.2	43.99899999999998	300.0	3500.0	FRAG	0.93
11	Spectrogram 1	1	42.8	44.79900000000002	300.0	3500.0	FRAG	0.87
12	Spectrogram 1	1	49.2	51.19899999999991	300.0	3500.0	FRAG	0.85
13	Spectrogram 1	1	51.2	53.19899999999991	300.0	3500.0	FRAG	0.78
14	Spectrogram 1	1	52.4	54.39900000000002	300.0	3500.0	FRAG	0.81
15	Spectrogram 1	1	18.4	20.399000000000022	400.0	3000.0	FUSC	0.77
16	Spectrogram 1	1	20.4	22.399000000000022	400.0	3000.0	FUSC	0.79
17	Spectrogram 1	1	23.2	25.199000000000023	400.0	3000.0	FUSC	0.87
18	Spectrogram 1	1	35.2	37.599	400.0	3000.0	FUSC	0.85
19	Spectrogram 1	1	41.6	46.39899999999998	400.0	3000.0	FUSC	0.83
20	Spectrogram 1	1	55.6	57.599000000000025	400.0	3000.0	FUSC	0.75
