Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.010666666666666666	0.6826666666666666	2460.9375	3257.8125
2	Spectrogram 1	1	0.032	1.3973333333333333	20812.5	21234.375
3	Spectrogram 1	1	0.17066666666666666	0.45866666666666667	4851.5625	5578.125
4	Spectrogram 1	1	0.224	0.64	18070.3125	18632.8125
5	Spectrogram 1	1	0.32	0.43733333333333335	3914.0625	4593.75
6	Spectrogram 1	1	0.7466666666666667	0.9386666666666666	18257.8125	18656.25
7	Spectrogram 1	1	1.0666666666666667	1.3546666666666667	16992.1875	17625.0
8	Spectrogram 1	1	1.12	1.8026666666666666	3843.75	5953.125
9	Spectrogram 1	1	1.184	2.4	18164.0625	18703.125
10	Spectrogram 1	1	1.1946666666666668	1.4293333333333333	16195.3125	16593.75
11	Spectrogram 1	1	1.1946666666666668	1.7813333333333334	937.5	3140.625
12	Spectrogram 1	1	1.472	2.5493333333333332	20414.0625	21281.25
13	Spectrogram 1	1	1.824	2.058666666666667	14062.5	14484.375
14	Spectrogram 1	1	2.016	2.2506666666666666	4734.375	5273.4375
15	Spectrogram 1	1	2.144	2.6453333333333333	19851.5625	20179.6875
16	Spectrogram 1	1	2.4	2.912	16195.3125	16664.0625
17	Spectrogram 1	1	2.453333333333333	3.6906666666666665	3890.625	6187.5
18	Spectrogram 1	1	2.474666666666667	2.72	18093.75	18726.5625
19	Spectrogram 1	1	2.848	3.488	20835.9375	21257.8125
20	Spectrogram 1	1	3.008	3.2746666666666666	16218.75	16617.1875
21	Spectrogram 1	1	3.2426666666666666	3.3493333333333335	2531.25	3187.5
22	Spectrogram 1	1	3.2853333333333334	3.456	18046.875	18515.625
23	Spectrogram 1	1	3.541333333333333	3.904	1359.375	3210.9375
24	Spectrogram 1	1	3.7226666666666666	4.906666666666666	3843.75	6445.3125
25	Spectrogram 1	1	3.925333333333333	4.192	2273.4375	3164.0625
26	Spectrogram 1	1	4.064	4.149333333333334	10500.0	11296.875
27	Spectrogram 1	1	4.1706666666666665	4.341333333333333	2906.25	3257.8125
28	Spectrogram 1	1	4.490666666666667	4.650666666666667	2085.9375	2554.6875
29	Spectrogram 1	1	4.8	4.938666666666666	2625.0	3281.25
30	Spectrogram 1	1	4.96	5.1946666666666665	4804.6875	5226.5625
31	Spectrogram 1	1	5.557333333333333	6.037333333333334	2601.5625	3304.6875
32	Spectrogram 1	1	5.984	6.069333333333334	10664.0625	11250.0
33	Spectrogram 1	1	6.304	6.4	5296.875	5835.9375
34	Spectrogram 1	1	6.602666666666667	6.9013333333333335	4945.3125	6187.5
35	Spectrogram 1	1	6.890666666666666	7.370666666666667	2578.125	3164.0625
36	Spectrogram 1	1	7.381333333333333	7.68	3750.0	5976.5625
37	Spectrogram 1	1	7.701333333333333	7.978666666666666	3726.5625	6164.0625
38	Spectrogram 1	1	8.149333333333333	8.597333333333333	3796.875	5976.5625
39	Spectrogram 1	1	8.736	8.874666666666666	4945.3125	5718.75
40	Spectrogram 1	1	8.746666666666666	8.885333333333334	3937.5	4523.4375
41	Spectrogram 1	1	8.981333333333334	9.109333333333334	5250.0	6070.3125
42	Spectrogram 1	1	8.981333333333334	9.344	3796.875	5765.625
43	Spectrogram 1	1	9.152	9.237333333333334	10593.75	11343.75
44	Spectrogram 1	1	9.216	9.354666666666667	1617.1875	3117.1875
45	Spectrogram 1	1	9.44	9.664	3726.5625	4570.3125
46	Spectrogram 1	1	9.504	9.664	2906.25	3375.0
47	Spectrogram 1	1	9.589333333333334	9.696	1171.875	2085.9375
48	Spectrogram 1	1	9.728	9.877333333333333	3773.4375	4593.75
49	Spectrogram 1	1	10.058666666666667	10.197333333333333	3703.125	4242.1875
50	Spectrogram 1	1	10.069333333333333	10.325333333333333	2765.625	3492.1875
51	Spectrogram 1	1	10.197333333333333	10.304	10125.0	11132.8125
52	Spectrogram 1	1	10.24	10.453333333333333	5250.0	6023.4375
53	Spectrogram 1	1	10.357333333333333	10.464	4289.0625	5015.625
54	Spectrogram 1	1	10.602666666666666	10.730666666666666	1781.25	2953.125
55	Spectrogram 1	1	11.232	11.552	5062.5	5976.5625
56	Spectrogram 1	1	11.253333333333334	11.552	3750.0	4851.5625
57	Spectrogram 1	1	11.402666666666667	11.658666666666667	2390.625	3445.3125
58	Spectrogram 1	1	11.808	12.096	2601.5625	3304.6875
59	Spectrogram 1	1	11.882666666666667	12.010666666666667	3750.0	4851.5625
60	Spectrogram 1	1	12.192	12.32	2296.875	3164.0625
61	Spectrogram 1	1	12.586666666666666	12.810666666666666	3726.5625	4734.375
62	Spectrogram 1	1	13.024	13.194666666666667	3703.125	4242.1875
63	Spectrogram 1	1	13.589333333333334	13.802666666666667	3632.8125	4171.875
64	Spectrogram 1	1	13.696	13.877333333333333	2859.375	3468.75
65	Spectrogram 1	1	14.197333333333333	14.378666666666666	3820.3125	5648.4375
66	Spectrogram 1	1	14.485333333333333	14.762666666666666	2718.75	3398.4375
67	Spectrogram 1	1	14.506666666666666	15.114666666666666	3656.25	4476.5625
68	Spectrogram 1	1	14.901333333333334	15.008	10640.625	11390.625
69	Spectrogram 1	1	14.922666666666666	15.018666666666666	11859.375	12492.1875
70	Spectrogram 1	1	14.965333333333334	15.210666666666667	2742.1875	3210.9375
71	Spectrogram 1	1	15.189333333333334	15.370666666666667	3703.125	5039.0625
72	Spectrogram 1	1	15.328	15.84	2648.4375	3328.125
73	Spectrogram 1	1	15.488	15.776	3867.1875	5203.125
74	Spectrogram 1	1	15.552	15.648	10359.375	11414.0625
75	Spectrogram 1	1	15.573333333333334	15.648	12867.1875	13523.4375
76	Spectrogram 1	1	15.925333333333333	16.48	2765.625	5132.8125
77	Spectrogram 1	1	16.384	16.629333333333335	3937.5	5343.75
78	Spectrogram 1	1	16.458666666666666	16.576	9257.8125	9937.5
79	Spectrogram 1	1	16.469333333333335	16.565333333333335	10265.625	11343.75
80	Spectrogram 1	1	16.533333333333335	17.141333333333332	2578.125	3539.0625
81	Spectrogram 1	1	16.832	17.216	4828.125	5554.6875
82	Spectrogram 1	1	17.12	17.418666666666667	3023.4375	3984.375
83	Spectrogram 1	1	17.130666666666666	17.226666666666667	10195.3125	11390.625
84	Spectrogram 1	1	17.141333333333332	17.226666666666667	11859.375	12515.625
85	Spectrogram 1	1	17.333333333333332	18.026666666666667	2554.6875	5414.0625
86	Spectrogram 1	1	17.664	17.824	1851.5625	2226.5625
87	Spectrogram 1	1	18.08	20.469333333333335	2273.4375	6562.5
88	Spectrogram 1	1	18.496	18.986666666666668	8414.0625	9890.625
89	Spectrogram 1	1	18.496	19.04	1265.625	2015.625
90	Spectrogram 1	1	18.538666666666668	18.954666666666668	16851.5625	21281.25
91	Spectrogram 1	1	18.538666666666668	18.666666666666668	16500.0	17296.875
92	Spectrogram 1	1	18.72	18.816	10195.3125	11132.8125
93	Spectrogram 1	1	21.002666666666666	21.077333333333332	12843.75	13546.875
94	Spectrogram 1	1	21.834666666666667	22.325333333333333	8179.6875	9820.3125
95	Spectrogram 1	1	21.856	22.314666666666668	18023.4375	20250.0
