Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
85	Spectrogram 1	1	20.544	20.672	10101.5625	10500.0
86	Spectrogram 1	1	20.544	20.778666666666666	4148.4375	5765.625
87	Spectrogram 1	1	20.608	20.778666666666666	12562.5	13242.1875
88	Spectrogram 1	1	20.928	21.173333333333332	3750.0	6164.0625
89	Spectrogram 1	1	21.386666666666667	21.525333333333332	10101.5625	10523.4375
90	Spectrogram 1	1	21.493333333333332	21.856	12562.5	13359.375
91	Spectrogram 1	1	21.632	22.24	3164.0625	5367.1875
92	Spectrogram 1	1	21.653333333333332	21.856	4101.5625	4968.75
93	Spectrogram 1	1	21.877333333333333	22.037333333333333	11648.4375	12539.0625
94	Spectrogram 1	1	22.005333333333333	22.186666666666667	10078.125	10500.0
95	Spectrogram 1	1	22.304	22.474666666666668	1570.3125	2203.125
96	Spectrogram 1	1	22.794666666666668	23.157333333333334	4078.125	5179.6875
97	Spectrogram 1	1	22.816	23.168	12585.9375	13382.8125
98	Spectrogram 1	1	22.826666666666668	23.168	5437.5	6234.375
99	Spectrogram 1	1	23.402666666666665	24.074666666666666	3210.9375	6234.375
100	Spectrogram 1	1	23.594666666666665	23.786666666666665	11507.8125	12539.0625
101	Spectrogram 1	1	23.904	24.074666666666666	11976.5625	13242.1875
102	Spectrogram 1	1	24.426666666666666	24.576	12914.0625	13359.375
103	Spectrogram 1	1	24.48	24.64	5437.5	6234.375
104	Spectrogram 1	1	24.501333333333335	24.981333333333332	3960.9375	6234.375
105	Spectrogram 1	1	24.544	24.949333333333332	3117.1875	3703.125
106	Spectrogram 1	1	24.78933333333333	24.96	11648.4375	12656.25
107	Spectrogram 1	1	25.173333333333332	25.749333333333333	3773.4375	5203.125
108	Spectrogram 1	1	25.184	25.376	12562.5	13218.75
109	Spectrogram 1	1	25.205333333333332	25.354666666666667	5343.75	5765.625
110	Spectrogram 1	1	25.248	25.450666666666667	1429.6875	2156.25
111	Spectrogram 1	1	25.525333333333332	25.706666666666667	5414.0625	6234.375
112	Spectrogram 1	1	25.546666666666667	25.76	12867.1875	13312.5
113	Spectrogram 1	1	26.08	26.314666666666668	11507.8125	12656.25
114	Spectrogram 1	1	26.378666666666668	26.581333333333333	12492.1875	13171.875
115	Spectrogram 1	1	26.378666666666668	26.538666666666668	5273.4375	5765.625
116	Spectrogram 1	1	27.136	27.733333333333334	3117.1875	6234.375
117	Spectrogram 1	1	27.30666666666667	27.530666666666665	11531.25	12656.25
118	Spectrogram 1	1	27.562666666666665	27.744	12562.5	13171.875
119	Spectrogram 1	1	28.309333333333335	28.85333333333333	3187.5	6257.8125
120	Spectrogram 1	1	28.490666666666666	28.874666666666666	11367.1875	13406.25
121	Spectrogram 1	1	28.682666666666666	28.906666666666666	1476.5625	1968.75
122	Spectrogram 1	1	29.632	30.037333333333333	3164.0625	6257.8125
123	Spectrogram 1	1	29.717333333333332	30.048	11367.1875	13523.4375
124	Spectrogram 1	1	30.698666666666668	31.104	3960.9375	5765.625
125	Spectrogram 1	1	30.88	31.2	12539.0625	13312.5
126	Spectrogram 1	1	31.594666666666665	32.10666666666667	3210.9375	6281.25
127	Spectrogram 1	1	31.690666666666665	32.128	11367.1875	13289.0625
128	Spectrogram 1	1	31.861333333333334	31.989333333333335	1804.6875	2203.125
129	Spectrogram 1	1	32.309333333333335	32.448	12984.375	13406.25
130	Spectrogram 1	1	32.821333333333335	33.28	3234.375	6210.9375
131	Spectrogram 1	1	32.864	33.312	11296.875	13664.0625
132	Spectrogram 1	1	33.781333333333336	33.962666666666664	12843.75	13476.5625
133	Spectrogram 1	1	33.87733333333333	34.282666666666664	3750.0	5250.0
134	Spectrogram 1	1	34.037333333333336	34.282666666666664	12539.0625	13265.625
135	Spectrogram 1	1	34.08	34.25066666666667	5414.0625	6164.0625
136	Spectrogram 1	1	34.592	35.285333333333334	3210.9375	6234.375
137	Spectrogram 1	1	34.61333333333334	35.029333333333334	11296.875	13523.4375
138	Spectrogram 1	1	35.06133333333333	35.424	12468.75	13406.25
139	Spectrogram 1	1	35.44533333333333	35.65866666666667	3796.875	5203.125
140	Spectrogram 1	1	36.064	36.512	3234.375	6281.25
141	Spectrogram 1	1	36.117333333333335	36.394666666666666	11578.125	13335.9375
142	Spectrogram 1	1	36.864	37.04533333333333	12914.0625	13406.25
143	Spectrogram 1	1	36.93866666666667	37.10933333333333	3984.375	5203.125
144	Spectrogram 1	1	37.13066666666667	37.87733333333333	11273.4375	13640.625
145	Spectrogram 1	1	37.13066666666667	37.632	3210.9375	6234.375
146	Spectrogram 1	1	37.49333333333333	37.632	10382.8125	10968.75
147	Spectrogram 1	1	37.74933333333333	37.93066666666667	12023.4375	12539.0625
148	Spectrogram 1	1	37.962666666666664	38.336	3843.75	5367.1875
149	Spectrogram 1	1	38.25066666666667	38.42133333333334	12890.625	13335.9375
150	Spectrogram 1	1	38.58133333333333	38.730666666666664	4992.1875	5390.625
151	Spectrogram 1	1	38.82666666666667	39.285333333333334	3210.9375	6281.25
152	Spectrogram 1	1	38.944	39.285333333333334	11554.6875	13289.0625
153	Spectrogram 1	1	39.46666666666667	39.59466666666667	12960.9375	13382.8125
154	Spectrogram 1	1	39.50933333333333	39.68	3937.5	5179.6875
155	Spectrogram 1	1	39.808	40.0	3843.75	4828.125
156	Spectrogram 1	1	40.394666666666666	40.93866666666667	3210.9375	6304.6875
157	Spectrogram 1	1	40.48	40.736	11390.625	13476.5625
158	Spectrogram 1	1	40.565333333333335	40.704	1687.5	2109.375
159	Spectrogram 1	1	41.42933333333333	41.973333333333336	3187.5	6257.8125
160	Spectrogram 1	1	41.461333333333336	41.973333333333336	11343.75	13382.8125
161	Spectrogram 1	1	42.63466666666667	43.050666666666665	3656.25	6140.625
162	Spectrogram 1	1	42.688	42.83733333333333	12046.875	12445.3125
163	Spectrogram 1	1	43.424	43.925333333333334	3281.25	5179.6875
164	Spectrogram 1	1	43.57333333333333	43.861333333333334	11625.0	12585.9375
165	Spectrogram 1	1	43.59466666666667	43.754666666666665	12937.5	13335.9375
166	Spectrogram 1	1	44.36266666666667	44.74666666666667	3210.9375	6257.8125
167	Spectrogram 1	1	44.42666666666667	44.736	11484.375	12656.25
168	Spectrogram 1	1	45.205333333333336	45.67466666666667	3820.3125	5203.125
169	Spectrogram 1	1	45.92	46.048	4312.5	5226.5625
170	Spectrogram 1	1	45.92	46.282666666666664	3234.375	5273.4375
171	Spectrogram 1	1	46.090666666666664	46.282666666666664	11507.8125	12632.8125
172	Spectrogram 1	1	46.18666666666667	46.346666666666664	12960.9375	13359.375
173	Spectrogram 1	1	46.56	46.69866666666667	4148.4375	4570.3125
174	Spectrogram 1	1	46.80533333333333	47.008	3960.9375	5367.1875
175	Spectrogram 1	1	47.221333333333334	47.392	3796.875	5156.25
176	Spectrogram 1	1	47.25333333333333	47.349333333333334	5460.9375	6257.8125
177	Spectrogram 1	1	47.936	48.074666666666666	4195.3125	4593.75
178	Spectrogram 1	1	48.36266666666667	49.013333333333335	3257.8125	6281.25
179	Spectrogram 1	1	49.35466666666667	49.472	4078.125	4570.3125
180	Spectrogram 1	1	49.824	49.973333333333336	5625.0	6210.9375
181	Spectrogram 1	1	49.834666666666664	49.984	3257.8125	4054.6875
182	Spectrogram 1	1	49.898666666666664	49.984	4406.25	5156.25
183	Spectrogram 1	1	50.06933333333333	50.22933333333334	4265.625	5203.125
184	Spectrogram 1	1	50.19733333333333	50.368	1734.375	2250.0
185	Spectrogram 1	1	50.35733333333334	50.54933333333334	3867.1875	5203.125
186	Spectrogram 1	1	51.413333333333334	51.59466666666667	3750.0	5226.5625
187	Spectrogram 1	1	51.70133333333333	51.89333333333333	12937.5	13312.5
188	Spectrogram 1	1	52.138666666666666	52.256	4195.3125	4617.1875
189	Spectrogram 1	1	52.704	52.98133333333333	3726.5625	5273.4375
190	Spectrogram 1	1	53.17333333333333	53.35466666666667	1710.9375	2179.6875
191	Spectrogram 1	1	53.216	53.35466666666667	12960.9375	13335.9375
192	Spectrogram 1	1	53.589333333333336	53.962666666666664	3796.875	5156.25
193	Spectrogram 1	1	54.24	54.37866666666667	3750.0	5179.6875
194	Spectrogram 1	1	54.794666666666664	54.944	12937.5	13335.9375
195	Spectrogram 1	1	54.848	54.95466666666667	4265.625	5015.625
196	Spectrogram 1	1	55.072	55.584	3726.5625	5367.1875
197	Spectrogram 1	1	55.285333333333334	55.424	5835.9375	6210.9375
198	Spectrogram 1	1	55.797333333333334	55.95733333333333	1734.375	2132.8125
199	Spectrogram 1	1	56.128	56.544	3304.6875	5296.875
200	Spectrogram 1	1	56.373333333333335	56.49066666666667	11250.0	11929.6875
201	Spectrogram 1	1	56.778666666666666	56.906666666666666	4101.5625	4593.75
202	Spectrogram 1	1	56.78933333333333	56.896	12562.5	13171.875
203	Spectrogram 1	1	57.397333333333336	59.59466666666667	9984.375	15656.25
204	Spectrogram 1	1	57.536	57.845333333333336	3726.5625	5226.5625
205	Spectrogram 1	1	58.08	58.208	4101.5625	4617.1875
206	Spectrogram 1	1	58.57066666666667	58.730666666666664	4781.25	5156.25
207	Spectrogram 1	1	58.70933333333333	59.093333333333334	3304.6875	6234.375
208	Spectrogram 1	1	59.36	59.52	4078.125	4687.5
