Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.64	1.504	3679.6875	5507.8125
2	Spectrogram 1	1	1.4506666666666668	1.6853333333333333	4804.6875	5156.25
3	Spectrogram 1	1	1.7173333333333334	2.176	3703.125	5671.875
4	Spectrogram 1	1	2.304	2.8373333333333335	3890.625	5156.25
5	Spectrogram 1	1	2.7093333333333334	2.88	5132.8125	5648.4375
6	Spectrogram 1	1	3.1146666666666665	3.584	3656.25	5648.4375
7	Spectrogram 1	1	4.096	4.213333333333333	4007.8125	4570.3125
8	Spectrogram 1	1	4.1706666666666665	4.522666666666667	3820.3125	5531.25
9	Spectrogram 1	1	4.810666666666667	6.048	3656.25	5718.75
10	Spectrogram 1	1	6.176	6.357333333333333	3890.625	5671.875
11	Spectrogram 1	1	6.474666666666667	6.762666666666667	4218.75	5132.8125
12	Spectrogram 1	1	6.912	7.232	3703.125	5718.75
13	Spectrogram 1	1	7.296	7.808	3914.0625	5132.8125
14	Spectrogram 1	1	8.053333333333333	8.330666666666668	3890.625	5343.75
15	Spectrogram 1	1	8.48	8.650666666666666	3750.0	4921.875
16	Spectrogram 1	1	8.970666666666666	9.290666666666667	3914.0625	5132.8125
17	Spectrogram 1	1	9.525333333333334	10.165333333333333	3656.25	5625.0
18	Spectrogram 1	1	9.6	10.112	12257.8125	12843.75
19	Spectrogram 1	1	10.336	10.581333333333333	12281.25	12656.25
20	Spectrogram 1	1	10.421333333333333	11.050666666666666	3867.1875	5718.75
21	Spectrogram 1	1	10.688	10.848	12328.125	12750.0
22	Spectrogram 1	1	11.061333333333334	11.253333333333334	12351.5625	12843.75
23	Spectrogram 1	1	11.370666666666667	11.530666666666667	3984.375	4500.0
24	Spectrogram 1	1	11.594666666666667	11.808	4007.8125	5132.8125
25	Spectrogram 1	1	11.893333333333333	12.106666666666667	3960.9375	5015.625
26	Spectrogram 1	1	12.341333333333333	12.618666666666666	3750.0	5765.625
27	Spectrogram 1	1	12.821333333333333	13.418666666666667	3656.25	5132.8125
28	Spectrogram 1	1	13.802666666666667	14.293333333333333	3820.3125	5554.6875
29	Spectrogram 1	1	14.752	14.965333333333334	4757.8125	5156.25
30	Spectrogram 1	1	15.285333333333334	15.658666666666667	3843.75	5320.3125
31	Spectrogram 1	1	15.808	16.298666666666666	3773.4375	5625.0
32	Spectrogram 1	1	17.002666666666666	17.290666666666667	12492.1875	12843.75
33	Spectrogram 1	1	17.472	17.674666666666667	12398.4375	12843.75
34	Spectrogram 1	1	17.472	17.728	4593.75	5789.0625
35	Spectrogram 1	1	17.994666666666667	18.112	3867.1875	4804.6875
36	Spectrogram 1	1	18.229333333333333	18.389333333333333	12421.875	12843.75
37	Spectrogram 1	1	18.389333333333333	18.72	3703.125	5648.4375
38	Spectrogram 1	1	18.464	18.581333333333333	8226.5625	8742.1875
39	Spectrogram 1	1	18.485333333333333	18.698666666666668	12328.125	12960.9375
40	Spectrogram 1	1	19.381333333333334	19.52	4171.875	4640.625
41	Spectrogram 1	1	19.658666666666665	19.925333333333334	3937.5	5109.375
42	Spectrogram 1	1	20.106666666666666	20.352	4406.25	5132.8125
43	Spectrogram 1	1	20.64	21.12	3632.8125	5742.1875
44	Spectrogram 1	1	21.429333333333332	21.632	4804.6875	5132.8125
45	Spectrogram 1	1	21.781333333333333	22.112	3726.5625	4921.875
46	Spectrogram 1	1	22.197333333333333	22.389333333333333	4804.6875	5132.8125
47	Spectrogram 1	1	22.634666666666668	22.794666666666668	3703.125	4828.125
48	Spectrogram 1	1	22.997333333333334	23.338666666666665	3585.9375	5132.8125
49	Spectrogram 1	1	23.370666666666665	23.765333333333334	3726.5625	5601.5625
50	Spectrogram 1	1	23.936	24.565333333333335	3914.0625	5132.8125
51	Spectrogram 1	1	25.258666666666667	25.696	3679.6875	5156.25
52	Spectrogram 1	1	25.824	26.293333333333333	3585.9375	5671.875
53	Spectrogram 1	1	26.538666666666668	26.848	3937.5	4828.125
54	Spectrogram 1	1	27.829333333333334	28.16	3890.625	5132.8125
55	Spectrogram 1	1	28.266666666666666	28.394666666666666	14085.9375	14648.4375
56	Spectrogram 1	1	28.469333333333335	29.141333333333332	3515.625	5625.0
57	Spectrogram 1	1	28.768	28.928	9820.3125	10242.1875
58	Spectrogram 1	1	28.864	29.162666666666667	15867.1875	16500.0
59	Spectrogram 1	1	29.408	29.653333333333332	15867.1875	16476.5625
60	Spectrogram 1	1	29.472	29.685333333333332	4804.6875	5132.8125
61	Spectrogram 1	1	29.728	30.261333333333333	15562.5	16781.25
62	Spectrogram 1	1	30.186666666666667	30.485333333333333	3796.875	5156.25
63	Spectrogram 1	1	30.208	30.506666666666668	9585.9375	10148.4375
64	Spectrogram 1	1	30.858666666666668	31.008	4007.8125	4757.8125
65	Spectrogram 1	1	31.061333333333334	32.10666666666667	3492.1875	5671.875
66	Spectrogram 1	1	32.202666666666666	32.416	9445.3125	9867.1875
67	Spectrogram 1	1	32.46933333333333	32.768	4617.1875	5132.8125
68	Spectrogram 1	1	32.821333333333335	33.013333333333335	3773.4375	4992.1875
69	Spectrogram 1	1	33.13066666666667	33.35466666666667	4781.25	5156.25
70	Spectrogram 1	1	33.74933333333333	33.909333333333336	16664.0625	17250.0
71	Spectrogram 1	1	33.888	34.090666666666664	4804.6875	5132.8125
72	Spectrogram 1	1	34.165333333333336	35.2	3515.625	5718.75
73	Spectrogram 1	1	36.21333333333333	36.53333333333333	3679.6875	5132.8125
74	Spectrogram 1	1	36.736	36.949333333333335	3843.75	5179.6875
75	Spectrogram 1	1	37.19466666666667	37.472	3726.5625	5601.5625
76	Spectrogram 1	1	37.962666666666664	38.176	4781.25	5132.8125
77	Spectrogram 1	1	38.32533333333333	38.61333333333334	3492.1875	5109.375
78	Spectrogram 1	1	38.90133333333333	39.157333333333334	3773.4375	5132.8125
79	Spectrogram 1	1	39.168	39.27466666666667	4101.5625	4734.375
80	Spectrogram 1	1	39.552	39.76533333333333	4804.6875	5132.8125
81	Spectrogram 1	1	40.266666666666666	40.512	3867.1875	5367.1875
82	Spectrogram 1	1	40.61866666666667	40.78933333333333	16734.375	17203.125
83	Spectrogram 1	1	40.757333333333335	41.09866666666667	3679.6875	5695.3125
84	Spectrogram 1	1	41.504	42.026666666666664	3515.625	5226.5625
