Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.288	0.45866666666666667	4265.625	4828.125
2	Spectrogram 1	1	0.7466666666666667	0.9066666666666666	9023.4375	10687.5
3	Spectrogram 1	1	2.5813333333333333	2.8373333333333335	4171.875	4851.5625
4	Spectrogram 1	1	3.4346666666666668	3.808	3960.9375	4945.3125
5	Spectrogram 1	1	3.52	3.7333333333333334	5179.6875	5789.0625
6	Spectrogram 1	1	3.5733333333333333	3.6693333333333333	1218.75	1757.8125
7	Spectrogram 1	1	3.68	15.669333333333332	13640.625	14531.25
8	Spectrogram 1	1	3.904	4.074666666666666	1359.375	1710.9375
9	Spectrogram 1	1	4.469333333333333	4.64	1335.9375	1710.9375
10	Spectrogram 1	1	4.789333333333333	4.96	4265.625	4875.0
11	Spectrogram 1	1	5.077333333333334	5.237333333333333	1335.9375	1757.8125
12	Spectrogram 1	1	5.973333333333334	6.1866666666666665	4171.875	4921.875
13	Spectrogram 1	1	6.432	6.741333333333333	16406.25	16804.6875
14	Spectrogram 1	1	7.253333333333333	7.424	4148.4375	4875.0
15	Spectrogram 1	1	7.84	8.192	16406.25	16734.375
16	Spectrogram 1	1	8.736	8.917333333333334	4195.3125	4992.1875
17	Spectrogram 1	1	9.514666666666667	9.653333333333334	1335.9375	1781.25
18	Spectrogram 1	1	9.898666666666667	10.058666666666667	4242.1875	4851.5625
19	Spectrogram 1	1	10.976	11.349333333333334	3984.375	4945.3125
20	Spectrogram 1	1	11.541333333333334	11.765333333333333	16476.5625	16828.125
21	Spectrogram 1	1	12.16	12.362666666666666	3773.4375	5015.625
22	Spectrogram 1	1	12.170666666666667	12.362666666666666	5507.8125	5976.5625
23	Spectrogram 1	1	12.384	12.736	16359.375	16804.6875
24	Spectrogram 1	1	12.853333333333333	13.152	16335.9375	16804.6875
25	Spectrogram 1	1	13.141333333333334	13.418666666666667	3890.625	4781.25
26	Spectrogram 1	1	14.325333333333333	14.506666666666666	4148.4375	4968.75
