Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.032	0.10666666666666667	890.625	1640.625
2	Spectrogram 1	1	0.08533333333333333	0.256	5695.3125	6210.9375
3	Spectrogram 1	1	0.096	0.24533333333333332	6632.8125	7710.9375
4	Spectrogram 1	1	0.10666666666666667	0.224	9656.25	12234.375
5	Spectrogram 1	1	0.11733333333333333	0.224	12445.3125	13804.6875
6	Spectrogram 1	1	0.11733333333333333	0.2773333333333333	8015.625	8718.75
7	Spectrogram 1	1	0.30933333333333335	0.864	4218.75	4734.375
8	Spectrogram 1	1	0.33066666666666666	0.7253333333333334	21703.125	23718.75
9	Spectrogram 1	1	0.33066666666666666	0.5866666666666667	20695.3125	21539.0625
10	Spectrogram 1	1	0.33066666666666666	0.64	16453.125	19078.125
11	Spectrogram 1	1	0.352	0.49066666666666664	19289.0625	20296.875
12	Spectrogram 1	1	1.3866666666666667	1.6746666666666667	19242.1875	23742.1875
13	Spectrogram 1	1	1.3973333333333333	2.005333333333333	4171.875	5695.3125
14	Spectrogram 1	1	1.408	1.664	17320.3125	19078.125
15	Spectrogram 1	1	1.44	1.6853333333333333	15187.5	17109.375
16	Spectrogram 1	1	1.5466666666666666	1.6853333333333333	12468.75	13804.6875
17	Spectrogram 1	1	1.6106666666666667	1.6853333333333333	9023.4375	9984.375
18	Spectrogram 1	1	1.792	1.9306666666666668	19242.1875	19992.1875
19	Spectrogram 1	1	1.8133333333333332	1.9306666666666668	21070.3125	21726.5625
20	Spectrogram 1	1	1.824	1.9306666666666668	17953.125	18539.0625
21	Spectrogram 1	1	1.8346666666666667	1.9306666666666668	22617.1875	23226.5625
22	Spectrogram 1	1	1.8666666666666667	2.08	1125.0	2367.1875
23	Spectrogram 1	1	2.4	2.656	4335.9375	4757.8125
24	Spectrogram 1	1	2.421333333333333	2.6346666666666665	22289.0625	24000.0
25	Spectrogram 1	1	2.421333333333333	2.6026666666666665	20414.0625	22195.3125
26	Spectrogram 1	1	2.421333333333333	2.6346666666666665	17601.5625	20250.0
27	Spectrogram 1	1	2.4426666666666668	2.5493333333333332	5062.5	5953.125
28	Spectrogram 1	1	2.453333333333333	2.5813333333333333	14976.5625	15632.8125
