Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	FUSC	5.6	9.19900000000016	5.6	3000	0
2	Spectrogram 1	1	FUSC	9.2	11.19900000000025	9.2	3000	0
3	Spectrogram 1	1	FUSC	12.0	13.998999999999796	12.0	3000	0
4	Spectrogram 1	1	FUSC	15.2	18.79900000000016	15.2	3000	0
5	Spectrogram 1	1	FUSC	22.8	24.798999999999797	22.8	3000	0
6	Spectrogram 1	1	FUSC	28.0	29.998999999999796	28.0	3000	0
7	Spectrogram 1	1	FUSC	35.6	37.99899999999989	35.6	3000	0
8	Spectrogram 1	1	FUSC	39.2	42.39900000000007	39.2	3000	0
9	Spectrogram 1	1	FUSC	42.8	45.198999999999884	42.8	3000	0
10	Spectrogram 1	1	FUSC	44.0	45.998999999999796	44.0	3000	0
11	Spectrogram 1	1	FUSC	44.8	46.79899999999979	44.8	3000	0
12	Spectrogram 1	1	FUSC	50.8	53.598999999999975	50.8	3000	0
13	Spectrogram 1	1	FUSC	53.6	55.59900000000025	53.6	3000	0
