Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	PTGN	3.6	5.599000000000023	3.6	1000	0
2	Spectrogram 1	1	PTGN	6.8	8.799000000000024	6.8	1000	0
3	Spectrogram 1	1	PTGN	7.6	9.599000000000023	7.6	1000	0
4	Spectrogram 1	1	PTGN	10.4	12.398999999999797	10.4	1000	0
5	Spectrogram 1	1	PTGN	12.4	15.198999999999979	12.4	1000	0
6	Spectrogram 1	1	PTGN	14.8	16.799000000000024	14.8	1000	0
7	Spectrogram 1	1	PTGN	21.2	23.598999999999887	21.2	1000	1
8	Spectrogram 1	1	PTGN	23.6	25.599000000000025	23.6	1000	0
9	Spectrogram 1	1	PTGN	44.8	46.79900000000002	44.8	1000	0
10	Spectrogram 1	1	PTGN	49.2	51.99899999999998	49.2	1000	0
