Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	FRAG	2.4	4.399000000000024	2.4	3500	0
2	Spectrogram 1	1	FRAG	3.6	5.599000000000023	3.6	3500	0
3	Spectrogram 1	1	FRAG	12.0	14.798999999999978	12.0	3500	0
4	Spectrogram 1	1	FRAG	14.8	17.199	14.8	3500	0
5	Spectrogram 1	1	FRAG	17.6	19.599000000000025	17.6	3500	0
6	Spectrogram 1	1	FRAG	21.2	23.19899999999991	21.2	3500	0
7	Spectrogram 1	1	FRAG	23.6	25.599000000000025	23.6	3500	0
8	Spectrogram 1	1	FRAG	24.4	26.399000000000022	24.4	3500	0
9	Spectrogram 1	1	FRAG	26.4	28.799	26.4	3500	0
10	Spectrogram 1	1	FRAG	31.6	33.599000000000025	31.6	3500	0
11	Spectrogram 1	1	FRAG	34.8	37.199	34.8	3500	0
12	Spectrogram 1	1	FRAG	37.6	39.599000000000025	37.6	3500	0
13	Spectrogram 1	1	FRAG	39.2	41.19899999999991	39.2	3500	0
14	Spectrogram 1	1	FRAG	40.4	42.39900000000002	40.4	3500	0
15	Spectrogram 1	1	FRAG	43.6	45.599000000000025	43.6	3500	0
16	Spectrogram 1	1	FRAG	45.2	47.19899999999991	45.2	3500	0
17	Spectrogram 1	1	FRAG	52.8	57.199	52.8	3500	0
18	Spectrogram 1	1	FUSC	35.6	37.599000000000025	35.6	3000	0
19	Spectrogram 1	1	FUSC	37.2	39.19900000000003	37.2	3000	0
20	Spectrogram 1	1	FUSC	41.2	43.19900000000003	41.2	3000	0
21	Spectrogram 1	1	FUSC	44.0	46.39899999999989	44.0	3000	0
22	Spectrogram 1	1	FUSC	46.4	48.398999999999795	46.4	3000	0
