Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	review
1	Spectrogram 1	1	FUSC	1.6	3.5990000000000237	1.6	3000	0
2	Spectrogram 1	1	FUSC	3.2	5.998999999999978	3.2	3000	0
3	Spectrogram 1	1	FUSC	5.2	7.199000000000024	5.2	3000	0
4	Spectrogram 1	1	FUSC	22.0	24.398999999999887	22.0	3000	0
5	Spectrogram 1	1	FUSC	24.0	26.398999999999887	24.0	3000	0
6	Spectrogram 1	1	FUSC	31.6	33.599000000000025	31.6	3000	0
7	Spectrogram 1	1	FUSC	40.4	42.398999999999795	40.4	3000	0
8	Spectrogram 1	1	FUSC	41.2	43.19900000000003	41.2	3000	0
9	Spectrogram 1	1	FUSC	52.8	54.79900000000002	52.8	3000	0
10	Spectrogram 1	1	FUSC	54.8	56.79900000000002	54.8	3000	0
