Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.458666667	0.608000000	3960.938	4781.250	4125.000	
2	Spectrogram 1	1	0.810666667	1.024000000	4664.062	5039.062	4968.750	
3	Spectrogram 1	1	2.122666667	2.218666667	3960.938	4734.375	4125.000	
4	Spectrogram 1	1	2.293333333	2.485333333	4593.750	5039.062	4968.750	
5	Spectrogram 1	1	3.093333333	3.317333333	4312.500	5062.500	4968.750	
6	Spectrogram 1	1	3.530666667	3.680000000	4570.312	5085.938	4968.750	
7	Spectrogram 1	1	4.096000000	4.405333333	3937.500	5062.500	4968.750	
8	Spectrogram 1	1	7.008000000	7.210666667	3960.938	5039.062	4968.750	
9	Spectrogram 1	1	8.330666667	8.661333333	4289.062	5039.062	4968.750	
10	Spectrogram 1	1	9.376000000	9.621333333	3468.750	4734.375	4031.250	
11	Spectrogram 1	1	10.240000000	10.400000000	4593.750	5085.938	4968.750	
12	Spectrogram 1	1	10.645333333	10.794666667	4335.938	5015.625	4968.750	
13	Spectrogram 1	1	10.976000000	11.093333333	3914.062	4757.812	4312.500	
14	Spectrogram 1	1	12.362666667	12.576000000	4476.562	5085.938	4968.750	
15	Spectrogram 1	1	14.293333333	14.432000000	4523.438	4945.312	4781.250	
16	Spectrogram 1	1	14.773333333	14.986666667	4664.062	5109.375	4968.750	
17	Spectrogram 1	1	16.096000000	16.256000000	4476.562	4992.188	4875.000	
18	Spectrogram 1	1	16.330666667	16.490666667	4664.062	5062.500	4968.750	
19	Spectrogram 1	1	16.810666667	16.960000000	1875.000	2601.562	2531.250	
20	Spectrogram 1	1	17.024000000	17.482666667	1593.750	2273.438	2062.500	Crotophaga_ani
21	Spectrogram 1	1	17.237333333	17.397333333	4664.062	5085.938	4968.750	
22	Spectrogram 1	1	17.557333333	17.813333333	10406.250	10828.125	10687.500	
23	Spectrogram 1	1	17.962666667	18.144000000	1687.500	2507.812	1875.000	Crotophaga_ani
24	Spectrogram 1	1	18.037333333	19.093333333	10406.250	11484.375	11343.750	
25	Spectrogram 1	1	18.101333333	18.432000000	4523.438	5039.062	4968.750	
26	Spectrogram 1	1	18.752000000	18.933333333	4453.125	5062.500	4968.750	
27	Spectrogram 1	1	19.765333333	19.904000000	4710.938	5203.125	4968.750	
28	Spectrogram 1	1	19.786666667	20.170666667	726.562	1664.062	1031.250	
29	Spectrogram 1	1	20.064000000	20.266666667	4406.250	5062.500	4687.500	
30	Spectrogram 1	1	20.330666667	20.512000000	937.500	1781.250	937.500	
31	Spectrogram 1	1	20.565333333	20.768000000	4617.188	5226.562	4968.750	
32	Spectrogram 1	1	20.842666667	21.269333333	1242.188	1828.125	1687.500	
33	Spectrogram 1	1	20.949333333	21.130666667	4664.062	5085.938	4968.750	
34	Spectrogram 1	1	21.280000000	21.493333333	4617.188	5226.562	4968.750	
35	Spectrogram 1	1	21.322666667	21.600000000	1265.625	2132.812	1687.500	
36	Spectrogram 1	1	21.738666667	21.866666667	1335.938	1781.250	1687.500	
37	Spectrogram 1	1	21.802666667	22.144000000	4453.125	5296.875	4968.750	
38	Spectrogram 1	1	21.941333333	22.197333333	1265.625	2085.938	1687.500	
39	Spectrogram 1	1	22.997333333	23.296000000	843.750	1218.750	937.500	
40	Spectrogram 1	1	23.168000000	23.402666667	4617.188	5226.562	4968.750	
41	Spectrogram 1	1	23.274666667	23.434666667	1335.938	1687.500	1593.750	
42	Spectrogram 1	1	23.509333333	23.690666667	4617.188	5085.938	4968.750	
43	Spectrogram 1	1	23.850666667	24.650666667	4476.562	5390.625	4968.750	
44	Spectrogram 1	1	25.514666667	26.261333333	4359.375	5250.000	4968.750	
45	Spectrogram 1	1	26.645333333	26.869333333	4617.188	5226.562	4968.750	
46	Spectrogram 1	1	27.050666667	27.253333333	4617.188	5226.562	4968.750	
47	Spectrogram 1	1	27.477333333	28.160000000	4476.562	5226.562	4968.750	
48	Spectrogram 1	1	28.330666667	28.480000000	4640.625	5062.500	4968.750	
49	Spectrogram 1	1	28.682666667	28.874666667	4640.625	5203.125	4968.750	
50	Spectrogram 1	1	29.130666667	29.312000000	4664.062	5132.812	4968.750	
51	Spectrogram 1	1	29.685333333	30.272000000	4476.562	5273.438	4968.750	
52	Spectrogram 1	1	30.389333333	30.517333333	4476.562	5085.938	4968.750	
53	Spectrogram 1	1	30.986666667	31.146666667	4664.062	5085.938	4968.750	
54	Spectrogram 1	1	31.776000000	31.936000000	4687.500	5085.938	4968.750	
55	Spectrogram 1	1	32.138666667	32.490666667	4476.562	5648.438	4968.750	
56	Spectrogram 1	1	32.864000000	33.269333333	1382.812	2882.812	2343.750	
57	Spectrogram 1	1	33.109333333	33.290666667	4593.750	5085.938	4968.750	
58	Spectrogram 1	1	33.440000000	33.653333333	4570.312	5250.000	4968.750	
59	Spectrogram 1	1	33.632000000	33.813333333	1804.688	2132.812	1968.750	
60	Spectrogram 1	1	33.845333333	34.261333333	4476.562	5250.000	4968.750	
61	Spectrogram 1	1	34.357333333	36.181333333	843.750	2203.125	937.500	
62	Spectrogram 1	1	34.570666667	35.029333333	4453.125	5203.125	4968.750	
63	Spectrogram 1	1	35.114666667	35.445333333	3679.688	5812.500	4968.750	
64	Spectrogram 1	1	35.658666667	36.021333333	4476.562	5273.438	4968.750	
65	Spectrogram 1	1	36.256000000	37.056000000	1312.500	1828.125	1687.500	
66	Spectrogram 1	1	36.448000000	36.789333333	4476.562	5203.125	4968.750	
67	Spectrogram 1	1	37.002666667	37.184000000	4617.188	5226.562	4968.750	
68	Spectrogram 1	1	37.184000000	37.642666667	1406.250	1804.688	1687.500	
69	Spectrogram 1	1	37.333333333	37.738666667	4453.125	5226.562	4968.750	
70	Spectrogram 1	1	37.514666667	37.888000000	3773.438	4265.625	4218.750	
71	Spectrogram 1	1	38.016000000	38.218666667	1453.125	1757.812	1687.500	
72	Spectrogram 1	1	38.080000000	38.432000000	4593.750	5250.000	4968.750	
73	Spectrogram 1	1	38.538666667	38.666666667	4523.438	5132.812	4968.750	
74	Spectrogram 1	1	38.656000000	38.837333333	1406.250	1734.375	1687.500	
75	Spectrogram 1	1	38.976000000	39.221333333	4593.750	5226.562	4968.750	
76	Spectrogram 1	1	39.392000000	39.861333333	3890.625	5437.500	4968.750	
77	Spectrogram 1	1	39.957333333	40.128000000	4687.500	5179.688	4968.750	
78	Spectrogram 1	1	40.160000000	40.298666667	3750.000	4335.938	4218.750	
79	Spectrogram 1	1	40.330666667	40.661333333	4617.188	5203.125	4968.750	
80	Spectrogram 1	1	41.045333333	42.005333333	3796.875	5648.438	4968.750	
81	Spectrogram 1	1	42.176000000	42.442666667	4617.188	5203.125	4968.750	
82	Spectrogram 1	1	42.549333333	42.805333333	4546.875	5226.562	4968.750	
83	Spectrogram 1	1	43.061333333	44.053333333	3820.312	5226.562	4968.750	
84	Spectrogram 1	1	43.392000000	43.669333333	1898.438	2390.625	2062.500	
85	Spectrogram 1	1	43.744000000	43.914666667	1406.250	1734.375	1500.000	Crotophaga_ani
86	Spectrogram 1	1	44.501333333	44.672000000	2132.812	2437.500	2250.000	
87	Spectrogram 1	1	44.576000000	44.778666667	4617.188	5226.562	4968.750	
88	Spectrogram 1	1	44.725333333	44.981333333	1476.562	1828.125	1687.500	Crotophaga_ani
89	Spectrogram 1	1	44.853333333	45.024000000	3726.562	4195.312	4125.000	
90	Spectrogram 1	1	44.874666667	45.856000000	3773.438	5765.625	4968.750	
91	Spectrogram 1	1	45.610666667	45.802666667	3257.812	3562.500	3375.000	
92	Spectrogram 1	1	46.069333333	46.421333333	4664.062	5203.125	4968.750	
93	Spectrogram 1	1	46.592000000	46.858666667	4570.312	5226.562	4968.750	
94	Spectrogram 1	1	47.893333333	48.170666667	4453.125	5789.062	4968.750	
95	Spectrogram 1	1	48.800000000	49.514666667	3820.312	5226.562	4968.750	
96	Spectrogram 1	1	48.960000000	49.194666667	2414.062	3023.438	2906.250	Crotophaga_ani
97	Spectrogram 1	1	49.034666667	49.354666667	1265.625	1945.312	1593.750	
98	Spectrogram 1	1	49.600000000	49.834666667	4617.188	5226.562	4968.750	
99	Spectrogram 1	1	49.728000000	49.994666667	2296.875	3023.438	2906.250	
100	Spectrogram 1	1	49.856000000	51.658666667	1335.938	2882.812	2437.500	
101	Spectrogram 1	1	49.930666667	50.208000000	4242.188	5273.438	4968.750	
102	Spectrogram 1	1	50.410666667	50.634666667	4593.750	5226.562	4968.750	
103	Spectrogram 1	1	50.805333333	51.264000000	3726.562	5203.125	4968.750	
104	Spectrogram 1	1	51.328000000	51.541333333	4617.188	5203.125	4968.750	
105	Spectrogram 1	1	51.690666667	52.608000000	4289.062	5226.562	4968.750	
106	Spectrogram 1	1	51.808000000	54.720000000	1078.125	3070.312	2343.750	
107	Spectrogram 1	1	52.810666667	52.992000000	4687.500	5179.688	4968.750	
108	Spectrogram 1	1	53.056000000	53.376000000	3796.875	5085.938	4125.000	
109	Spectrogram 1	1	54.080000000	54.389333333	4218.750	5132.812	4968.750	
110	Spectrogram 1	1	54.581333333	55.434666667	3703.125	5226.562	4968.750	
111	Spectrogram 1	1	55.125333333	56.042666667	867.188	1804.688	1593.750	
112	Spectrogram 1	1	55.146666667	55.402666667	1992.188	2625.000	2156.250	
113	Spectrogram 1	1	55.541333333	56.000000000	4617.188	5226.562	4968.750	
114	Spectrogram 1	1	56.128000000	56.384000000	1312.500	1781.250	1687.500	
115	Spectrogram 1	1	56.138666667	56.352000000	4640.625	5203.125	4968.750	
116	Spectrogram 1	1	56.149333333	56.448000000	1992.188	2554.688	2437.500	
117	Spectrogram 1	1	56.512000000	57.045333333	3703.125	5250.000	4968.750	
118	Spectrogram 1	1	57.269333333	57.792000000	4617.188	5203.125	4968.750	
119	Spectrogram 1	1	57.941333333	58.528000000	4640.625	5203.125	4968.750	
120	Spectrogram 1	1	58.720000000	59.104000000	3726.562	5203.125	4968.750	
121	Spectrogram 1	1	59.189333333	59.818666667	4242.188	5203.125	4968.750	
