Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.010666667	0.341333333	23601.562	24000.000	23812.500	
2	Spectrogram 1	1	0.010666667	0.181333333	14390.625	14718.750	14531.250	
3	Spectrogram 1	1	0.010666667	0.362666667	7054.688	7453.125	7312.500	
4	Spectrogram 1	1	0.213333333	0.693333333	11625.000	13242.188	12000.000	
5	Spectrogram 1	1	0.213333333	0.576000000	5789.062	6210.938	6093.750	
6	Spectrogram 1	1	0.266666667	0.650666667	2765.625	4453.125	4125.000	
7	Spectrogram 1	1	0.426666667	0.618666667	14414.062	14742.188	14531.250	
8	Spectrogram 1	1	0.437333333	0.768000000	23648.438	24000.000	23906.250	
9	Spectrogram 1	1	0.437333333	0.810666667	7054.688	7476.562	7312.500	
10	Spectrogram 1	1	0.437333333	0.800000000	1218.750	2320.312	2156.250	Nyctidromus_albicollis
11	Spectrogram 1	1	0.928000000	1.141333333	14367.188	14718.750	14531.250	
12	Spectrogram 1	1	0.928000000	1.248000000	7054.688	7453.125	7312.500	
13	Spectrogram 1	1	1.194666667	1.408000000	2789.062	3187.500	3093.750	
14	Spectrogram 1	1	1.312000000	1.632000000	11625.000	13171.875	12000.000	
15	Spectrogram 1	1	1.322666667	1.653333333	3304.688	4312.500	4218.750	
16	Spectrogram 1	1	1.365333333	1.600000000	5625.000	6187.500	6000.000	
17	Spectrogram 1	1	1.408000000	1.589333333	15609.375	16289.062	15937.500	
18	Spectrogram 1	1	1.418666667	1.610666667	14390.625	14742.188	14531.250	
19	Spectrogram 1	1	1.418666667	1.717333333	7078.125	7476.562	7312.500	
20	Spectrogram 1	1	1.728000000	3.466666667	9773.438	17437.500	12000.000	
21	Spectrogram 1	1	1.888000000	2.090666667	7078.125	7453.125	7312.500	
22	Spectrogram 1	1	2.026666667	2.208000000	2765.625	3210.938	3093.750	
23	Spectrogram 1	1	2.368000000	2.666666667	7054.688	7476.562	7312.500	
24	Spectrogram 1	1	2.549333333	2.880000000	5765.625	6234.375	6187.500	
25	Spectrogram 1	1	2.570666667	3.008000000	17742.188	18328.125	17906.250	
26	Spectrogram 1	1	2.592000000	2.944000000	2742.188	4429.688	4406.250	
27	Spectrogram 1	1	2.826666667	3.146666667	7101.562	7453.125	7312.500	
28	Spectrogram 1	1	3.136000000	3.306666667	17671.875	18960.938	18000.000	
29	Spectrogram 1	1	3.178666667	3.370666667	2765.625	3257.812	3093.750	
30	Spectrogram 1	1	3.285333333	3.626666667	7101.562	7453.125	7312.500	
31	Spectrogram 1	1	3.594666667	4.160000000	2718.750	4406.250	4406.250	
32	Spectrogram 1	1	3.680000000	3.989333333	11625.000	13218.750	11906.250	
33	Spectrogram 1	1	3.690666667	3.957333333	5742.188	6210.938	6093.750	
34	Spectrogram 1	1	3.722666667	3.946666667	7031.250	7453.125	7312.500	
35	Spectrogram 1	1	3.744000000	3.914666667	14414.062	14718.750	14531.250	
36	Spectrogram 1	1	3.754666667	3.936000000	15773.438	16242.188	15937.500	
37	Spectrogram 1	1	3.786666667	3.957333333	5039.062	5343.750	5156.250	
38	Spectrogram 1	1	4.213333333	4.501333333	7054.688	7476.562	7312.500	
39	Spectrogram 1	1	4.309333333	4.512000000	2765.625	3281.250	3187.500	
40	Spectrogram 1	1	4.373333333	4.565333333	5015.625	5320.312	5156.250	
41	Spectrogram 1	1	4.661333333	5.216000000	2765.625	4312.500	4218.750	
42	Spectrogram 1	1	4.704000000	4.992000000	7101.562	7476.562	7312.500	
43	Spectrogram 1	1	4.746666667	5.077333333	11625.000	12796.875	11906.250	
44	Spectrogram 1	1	4.746666667	5.034666667	5671.875	6210.938	6187.500	
45	Spectrogram 1	1	4.778666667	5.162666667	1148.438	2273.438	2062.500	Nyctidromus_albicollis
46	Spectrogram 1	1	4.842666667	5.013333333	15679.688	16125.000	15937.500	
47	Spectrogram 1	1	5.344000000	5.546666667	2718.750	3257.812	3093.750	
48	Spectrogram 1	1	5.568000000	5.770666667	7054.688	7429.688	7218.750	
49	Spectrogram 1	1	5.578666667	5.749333333	14414.062	14742.188	14531.250	
50	Spectrogram 1	1	5.674666667	6.229333333	2742.188	4406.250	4406.250	
51	Spectrogram 1	1	5.738666667	6.090666667	11625.000	13171.875	12000.000	
52	Spectrogram 1	1	5.834666667	6.080000000	5765.625	6210.938	6093.750	
53	Spectrogram 1	1	6.378666667	6.560000000	2765.625	3257.812	3093.750	
54	Spectrogram 1	1	6.677333333	7.029333333	11625.000	13171.875	12000.000	
55	Spectrogram 1	1	6.677333333	7.029333333	2718.750	4289.062	4218.750	
56	Spectrogram 1	1	6.784000000	6.954666667	14390.625	14718.750	14531.250	
57	Spectrogram 1	1	6.794666667	6.965333333	15796.875	16265.625	15843.750	
58	Spectrogram 1	1	6.794666667	7.008000000	5578.125	6210.938	6093.750	
59	Spectrogram 1	1	7.178666667	7.360000000	2765.625	3281.250	3187.500	
60	Spectrogram 1	1	7.264000000	7.434666667	14414.062	14742.188	14531.250	
61	Spectrogram 1	1	7.498666667	7.680000000	2765.625	3257.812	3093.750	
62	Spectrogram 1	1	7.893333333	8.277333333	2742.188	4453.125	4406.250	
63	Spectrogram 1	1	7.925333333	8.288000000	11648.438	12843.750	12000.000	
64	Spectrogram 1	1	7.989333333	8.256000000	5789.062	6187.500	6093.750	
65	Spectrogram 1	1	8.010666667	8.245333333	15632.812	16171.875	15843.750	
