Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.010666667	0.170666667	8601.562	8976.562	8718.750	
2	Spectrogram 1	1	0.010666667	0.234666667	3820.312	4781.250	4125.000	
3	Spectrogram 1	1	0.618666667	0.704000000	5695.312	6304.688	5812.500	
4	Spectrogram 1	1	1.440000000	2.154666667	3843.750	4875.000	4218.750	
5	Spectrogram 1	1	1.856000000	2.421333333	8320.312	9046.875	8625.000	
6	Spectrogram 1	1	2.154666667	2.325333333	6609.375	7101.562	7031.250	
7	Spectrogram 1	1	2.602666667	2.752000000	6656.250	7171.875	7031.250	
8	Spectrogram 1	1	3.040000000	3.210666667	6679.688	7171.875	7125.000	
9	Spectrogram 1	1	3.424000000	4.053333333	3843.750	4875.000	4312.500	
10	Spectrogram 1	1	3.946666667	4.106666667	6585.938	7195.312	7031.250	
11	Spectrogram 1	1	4.362666667	4.586666667	6703.125	7195.312	7125.000	
12	Spectrogram 1	1	5.141333333	5.301333333	1148.438	1570.312	1312.500	Leptodactylus_fragilis
13	Spectrogram 1	1	5.386666667	5.824000000	3867.188	4851.562	4125.000	
14	Spectrogram 1	1	5.504000000	5.824000000	6632.812	7195.312	7125.000	
15	Spectrogram 1	1	5.898666667	6.069333333	1101.562	1617.188	1593.750	Leptodactylus_fragilis
16	Spectrogram 1	1	6.048000000	6.272000000	6703.125	7148.438	6843.750	
17	Spectrogram 1	1	6.154666667	6.474666667	3820.312	4875.000	4125.000	
18	Spectrogram 1	1	6.602666667	6.730666667	6679.688	7148.438	7125.000	
19	Spectrogram 1	1	7.029333333	7.221333333	6632.812	7171.875	7125.000	
20	Spectrogram 1	1	7.200000000	7.680000000	3843.750	5835.938	4125.000	
21	Spectrogram 1	1	7.477333333	7.722666667	6023.438	7171.875	7125.000	
22	Spectrogram 1	1	7.690666667	7.861333333	1101.562	1570.312	1312.500	Leptodactylus_fragilis
23	Spectrogram 1	1	8.298666667	8.576000000	8460.938	8812.500	8718.750	
24	Spectrogram 1	1	8.597333333	8.789333333	1054.688	1570.312	1312.500	Leptodactylus_fragilis
25	Spectrogram 1	1	9.077333333	9.344000000	6585.938	7218.750	7218.750	
26	Spectrogram 1	1	9.088000000	9.333333333	3867.188	4875.000	4218.750	
27	Spectrogram 1	1	9.600000000	9.770666667	6679.688	7125.000	7125.000	
28	Spectrogram 1	1	9.813333333	10.005333333	1078.125	1546.875	1312.500	Leptodactylus_fragilis
29	Spectrogram 1	1	10.069333333	10.218666667	6656.250	7148.438	6843.750	
30	Spectrogram 1	1	10.154666667	10.517333333	3843.750	4945.312	4312.500	
31	Spectrogram 1	1	10.485333333	10.698666667	6632.812	7171.875	7031.250	
32	Spectrogram 1	1	10.954666667	11.274666667	3914.062	4898.438	4125.000	
33	Spectrogram 1	1	11.626666667	11.829333333	6679.688	7148.438	7125.000	
34	Spectrogram 1	1	12.917333333	13.109333333	4335.938	4875.000	4687.500	
35	Spectrogram 1	1	13.173333333	13.344000000	5437.500	6000.000	5812.500	
36	Spectrogram 1	1	14.922666667	15.093333333	4335.938	4875.000	4687.500	
37	Spectrogram 1	1	14.954666667	15.125333333	93.750	398.438	93.750	
38	Spectrogram 1	1	15.680000000	15.850666667	6960.938	7500.000	7500.000	
39	Spectrogram 1	1	15.744000000	16.512000000	23.438	632.812	93.750	
40	Spectrogram 1	1	16.437333333	16.746666667	5390.625	5812.500	5531.250	
41	Spectrogram 1	1	16.736000000	16.949333333	4242.188	4921.875	4687.500	
42	Spectrogram 1	1	17.098666667	17.440000000	8296.875	9117.188	8625.000	
43	Spectrogram 1	1	17.760000000	17.973333333	6726.562	7171.875	7125.000	
44	Spectrogram 1	1	18.229333333	18.410666667	70.312	398.438	93.750	
45	Spectrogram 1	1	18.314666667	18.453333333	6703.125	7125.000	7031.250	
46	Spectrogram 1	1	18.688000000	18.890666667	4125.000	4992.188	4687.500	
47	Spectrogram 1	1	19.146666667	19.413333333	6679.688	7195.312	7031.250	
48	Spectrogram 1	1	19.594666667	19.712000000	1687.500	2085.938	1968.750	
49	Spectrogram 1	1	19.914666667	20.149333333	1710.938	2273.438	1968.750	
50	Spectrogram 1	1	20.170666667	22.656000000	23.438	468.750	93.750	
51	Spectrogram 1	1	20.416000000	20.608000000	6656.250	7148.438	6843.750	
52	Spectrogram 1	1	20.512000000	20.746666667	4265.625	5085.938	4687.500	
53	Spectrogram 1	1	20.896000000	21.077333333	6632.812	7171.875	7125.000	
54	Spectrogram 1	1	20.917333333	21.056000000	3750.000	4429.688	3750.000	
55	Spectrogram 1	1	21.269333333	22.613333333	2835.938	3328.125	3281.250	
