Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.042666667	0.394666667	8179.688	8507.812	8250.000	
2	Spectrogram 1	1	0.256000000	0.480000000	10687.500	11273.438	11250.000	
3	Spectrogram 1	1	0.458666667	0.586666667	4453.125	4898.438	4500.000	
4	Spectrogram 1	1	1.024000000	1.226666667	5015.625	5554.688	5343.750	
5	Spectrogram 1	1	1.077333333	1.397333333	3960.938	4921.875	4125.000	
6	Spectrogram 1	1	1.141333333	2.005333333	8156.250	8601.562	8156.250	
7	Spectrogram 1	1	1.290666667	1.696000000	9679.688	10640.625	10593.750	
8	Spectrogram 1	1	1.312000000	1.930666667	5015.625	6375.000	5250.000	
9	Spectrogram 1	1	1.802666667	2.026666667	9914.062	11320.312	11250.000	
10	Spectrogram 1	1	1.909333333	2.048000000	4148.438	4921.875	4312.500	
11	Spectrogram 1	1	2.314666667	3.264000000	4500.000	6375.000	5343.750	
12	Spectrogram 1	1	2.357333333	2.848000000	257.812	632.812	468.750	
13	Spectrogram 1	1	2.378666667	2.986666667	1710.938	2062.500	1968.750	Crypturellus_soui
14	Spectrogram 1	1	2.581333333	2.762666667	3890.625	4851.562	4312.500	
15	Spectrogram 1	1	2.954666667	3.370666667	8203.125	8554.688	8343.750	
16	Spectrogram 1	1	3.520000000	3.754666667	4968.750	5554.688	5343.750	
17	Spectrogram 1	1	3.605333333	4.021333333	3867.188	4875.000	4218.750	
18	Spectrogram 1	1	4.117333333	4.224000000	4148.438	4664.062	4312.500	
19	Spectrogram 1	1	4.192000000	4.597333333	8085.938	8554.688	8156.250	
20	Spectrogram 1	1	4.234666667	4.714666667	5039.062	6445.312	5343.750	
21	Spectrogram 1	1	4.341333333	4.490666667	4476.562	4921.875	4500.000	
22	Spectrogram 1	1	5.130666667	5.706666667	3890.625	5507.812	5343.750	
23	Spectrogram 1	1	5.536000000	6.101333333	8156.250	8554.688	8156.250	
24	Spectrogram 1	1	5.706666667	6.133333333	5625.000	6421.875	6000.000	
25	Spectrogram 1	1	6.304000000	6.464000000	4171.875	5062.500	4312.500	
26	Spectrogram 1	1	6.453333333	7.114666667	1710.938	2085.938	1968.750	Crypturellus_soui
27	Spectrogram 1	1	6.816000000	7.456000000	8132.812	8531.250	8250.000	
28	Spectrogram 1	1	6.933333333	7.136000000	3937.500	4828.125	4031.250	
29	Spectrogram 1	1	7.114666667	7.669333333	5578.125	6468.750	6000.000	
30	Spectrogram 1	1	7.242666667	7.381333333	3914.062	4453.125	4218.750	
31	Spectrogram 1	1	7.968000000	8.160000000	4382.812	5437.500	4500.000	
32	Spectrogram 1	1	8.213333333	8.437333333	3937.500	4851.562	4125.000	
33	Spectrogram 1	1	8.320000000	8.885333333	5601.562	6398.438	6093.750	
34	Spectrogram 1	1	9.034666667	9.386666667	3867.188	4828.125	4125.000	
35	Spectrogram 1	1	9.386666667	9.536000000	4429.688	5015.625	4500.000	
