Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.757333333	0.842666667	1804.688	2507.812	2437.500	
2	Spectrogram 1	1	0.789333333	0.970666667	3984.375	4828.125	4500.000	
3	Spectrogram 1	1	1.333333333	1.536000000	1804.688	2601.562	2343.750	
4	Spectrogram 1	1	1.888000000	2.133333333	1851.562	3234.375	2343.750	
5	Spectrogram 1	1	2.869333333	3.338666667	3820.312	5296.875	4781.250	
6	Spectrogram 1	1	3.776000000	4.224000000	5343.750	5882.812	5531.250	
7	Spectrogram 1	1	3.872000000	4.074666667	2343.750	2765.625	2343.750	
8	Spectrogram 1	1	5.269333333	6.122666667	3960.938	6000.000	4406.250	
9	Spectrogram 1	1	5.653333333	6.005333333	1148.438	2695.312	2531.250	
10	Spectrogram 1	1	6.282666667	6.762666667	3703.125	5250.000	3937.500	
11	Spectrogram 1	1	7.466666667	7.765333333	4945.312	5929.688	5343.750	
12	Spectrogram 1	1	7.925333333	9.344000000	21632.812	24000.000	23343.750	
13	Spectrogram 1	1	8.896000000	9.333333333	3914.062	5835.938	4593.750	
14	Spectrogram 1	1	9.269333333	9.802666667	2531.250	3445.312	3093.750	
15	Spectrogram 1	1	10.197333333	10.346666667	984.375	2460.938	1500.000	
16	Spectrogram 1	1	10.325333333	10.848000000	3843.750	5367.188	4031.250	
17	Spectrogram 1	1	11.008000000	11.552000000	8835.938	9492.188	9375.000	
18	Spectrogram 1	1	11.434666667	11.680000000	1687.500	3023.438	2062.500	
19	Spectrogram 1	1	11.754666667	11.946666667	9000.000	9515.625	9281.250	
20	Spectrogram 1	1	11.776000000	11.925333333	4898.438	5718.750	5156.250	
21	Spectrogram 1	1	12.213333333	12.373333333	1312.500	2484.375	2062.500	
22	Spectrogram 1	1	14.677333333	15.381333333	4664.062	5953.125	5250.000	
23	Spectrogram 1	1	14.858666667	15.072000000	1851.562	2390.625	2250.000	
24	Spectrogram 1	1	14.965333333	15.168000000	4429.688	4734.375	4593.750	
25	Spectrogram 1	1	15.669333333	16.128000000	3773.438	5132.812	3937.500	
26	Spectrogram 1	1	15.680000000	15.850666667	8812.500	9539.062	9468.750	
27	Spectrogram 1	1	16.906666667	17.024000000	1500.000	2554.688	2437.500	
28	Spectrogram 1	1	17.056000000	17.258666667	8789.062	9468.750	8906.250	
29	Spectrogram 1	1	17.408000000	17.685333333	3023.438	3398.438	3187.500	
30	Spectrogram 1	1	17.472000000	17.813333333	4031.250	4429.688	4312.500	
31	Spectrogram 1	1	18.624000000	19.402666667	8601.562	10007.812	9656.250	
32	Spectrogram 1	1	19.477333333	19.669333333	1570.312	2671.875	2437.500	
33	Spectrogram 1	1	19.520000000	19.914666667	8695.312	9726.562	9656.250	
34	Spectrogram 1	1	20.010666667	20.170666667	9117.188	9609.375	9562.500	
35	Spectrogram 1	1	20.469333333	21.120000000	1664.062	3375.000	2250.000	
36	Spectrogram 1	1	20.640000000	20.800000000	4781.250	5484.375	5250.000	
37	Spectrogram 1	1	20.672000000	20.885333333	3960.938	4570.312	4031.250	
38	Spectrogram 1	1	21.376000000	21.824000000	3421.875	5320.312	3937.500	
39	Spectrogram 1	1	22.304000000	22.528000000	2367.188	2929.688	2812.500	
40	Spectrogram 1	1	23.456000000	23.562666667	1710.938	2507.812	2343.750	
41	Spectrogram 1	1	24.448000000	24.746666667	3117.188	3421.875	3375.000	
42	Spectrogram 1	1	24.522666667	24.810666667	4101.562	4406.250	4218.750	
43	Spectrogram 1	1	25.418666667	25.770666667	210.938	820.312	375.000	Patagioenas_cayennensis
44	Spectrogram 1	1	25.632000000	26.080000000	3843.750	5414.062	4500.000	
45	Spectrogram 1	1	27.061333333	27.701333333	8625.000	9632.812	9562.500	
46	Spectrogram 1	1	27.914666667	28.330666667	3703.125	5015.625	3843.750	
47	Spectrogram 1	1	28.490666667	28.618666667	5437.500	5859.375	5718.750	
48	Spectrogram 1	1	28.544000000	28.800000000	3914.062	4968.750	4687.500	
49	Spectrogram 1	1	28.970666667	29.088000000	1757.812	2414.062	2343.750	
50	Spectrogram 1	1	29.184000000	29.322666667	2976.562	3421.875	3187.500	
51	Spectrogram 1	1	29.770666667	30.026666667	9140.625	9609.375	9562.500	
52	Spectrogram 1	1	31.274666667	31.552000000	9140.625	9679.688	9656.250	
53	Spectrogram 1	1	31.520000000	32.192000000	3585.938	5085.938	3937.500	
54	Spectrogram 1	1	31.797333333	32.256000000	1687.500	3117.188	1875.000	
55	Spectrogram 1	1	32.202666667	32.650666667	2859.375	3468.750	3281.250	
56	Spectrogram 1	1	33.024000000	33.365333333	9117.188	9515.625	9375.000	
57	Spectrogram 1	1	33.461333333	33.642666667	9070.312	9375.000	9375.000	
58	Spectrogram 1	1	33.824000000	34.858666667	9000.000	9539.062	9375.000	
59	Spectrogram 1	1	34.538666667	35.146666667	2742.188	3351.562	3187.500	
60	Spectrogram 1	1	34.912000000	35.104000000	1570.312	2578.125	2437.500	
61	Spectrogram 1	1	35.317333333	35.957333333	3773.438	5859.375	4406.250	
62	Spectrogram 1	1	35.786666667	36.288000000	2695.312	3539.062	3093.750	
63	Spectrogram 1	1	36.469333333	36.608000000	1640.625	2625.000	2531.250	
64	Spectrogram 1	1	37.056000000	37.194666667	4125.000	4640.625	4406.250	
65	Spectrogram 1	1	37.098666667	37.632000000	4570.312	6210.938	6187.500	
66	Spectrogram 1	1	37.696000000	37.973333333	8765.625	9351.562	9187.500	
67	Spectrogram 1	1	38.368000000	39.136000000	8812.500	9421.875	9187.500	
68	Spectrogram 1	1	38.954666667	39.114666667	2437.500	3234.375	2625.000	
69	Spectrogram 1	1	39.008000000	39.093333333	10710.938	11929.688	10781.250	
70	Spectrogram 1	1	39.072000000	39.509333333	3468.750	4453.125	3843.750	
71	Spectrogram 1	1	39.200000000	39.466666667	4570.312	5109.375	4875.000	
72	Spectrogram 1	1	39.445333333	39.658666667	10125.000	13804.688	10781.250	
73	Spectrogram 1	1	39.733333333	40.480000000	8273.438	9445.312	8531.250	
74	Spectrogram 1	1	40.480000000	40.714666667	9984.375	14039.062	10218.750	
75	Spectrogram 1	1	40.640000000	40.928000000	8812.500	9234.375	9000.000	
76	Spectrogram 1	1	40.949333333	41.173333333	10242.188	14250.000	11718.750	
77	Spectrogram 1	1	41.258666667	41.376000000	4218.750	4664.062	4593.750	
78	Spectrogram 1	1	41.749333333	42.176000000	7710.938	8109.375	7875.000	
79	Spectrogram 1	1	42.794666667	42.901333333	5367.188	5882.812	5437.500	
80	Spectrogram 1	1	42.933333333	43.072000000	1359.375	2343.750	2250.000	
81	Spectrogram 1	1	43.114666667	43.744000000	7593.750	8062.500	7875.000	
82	Spectrogram 1	1	43.829333333	43.936000000	9210.938	9820.312	9750.000	
83	Spectrogram 1	1	44.032000000	44.469333333	3703.125	5203.125	3937.500	
84	Spectrogram 1	1	44.672000000	45.312000000	7664.062	8085.938	7875.000	
85	Spectrogram 1	1	45.685333333	45.781333333	4710.938	5226.562	4781.250	
86	Spectrogram 1	1	46.250666667	46.848000000	7640.625	8109.375	7875.000	
87	Spectrogram 1	1	46.293333333	46.496000000	3703.125	5414.062	4500.000	
88	Spectrogram 1	1	46.378666667	46.485333333	3023.438	3492.188	3187.500	
89	Spectrogram 1	1	46.485333333	46.730666667	1664.062	2648.438	2250.000	
