Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.501333333	0.789333333	5718.750	6023.438	5906.250	
2	Spectrogram 1	1	1.216000000	1.504000000	914.062	2859.375	1312.500	Leptodactylus_fragilis
3	Spectrogram 1	1	2.730666667	3.029333333	914.062	2882.812	1312.500	Leptodactylus_fragilis
4	Spectrogram 1	1	4.554666667	4.885333333	914.062	2929.688	1312.500	Leptodactylus_fragilis
5	Spectrogram 1	1	4.714666667	4.821333333	3796.875	4406.250	4125.000	
6	Spectrogram 1	1	5.344000000	5.738666667	5695.312	6070.312	5906.250	
7	Spectrogram 1	1	6.634666667	6.954666667	914.062	2812.500	1312.500	Leptodactylus_fragilis
8	Spectrogram 1	1	7.317333333	7.648000000	5718.750	6046.875	5906.250	
9	Spectrogram 1	1	9.290666667	9.568000000	5742.188	6046.875	5906.250	
10	Spectrogram 1	1	9.642666667	9.962666667	914.062	2835.938	1312.500	Leptodactylus_fragilis
11	Spectrogram 1	1	11.786666667	12.021333333	328.125	1007.812	375.000	
12	Spectrogram 1	1	12.245333333	12.565333333	843.750	2812.500	1312.500	Leptodactylus_fragilis
13	Spectrogram 1	1	13.792000000	13.920000000	304.688	960.938	468.750	
14	Spectrogram 1	1	14.112000000	14.464000000	5718.750	6070.312	6000.000	
15	Spectrogram 1	1	14.848000000	15.189333333	914.062	2765.625	1312.500	Leptodactylus_fragilis
16	Spectrogram 1	1	18.293333333	18.528000000	304.688	1195.312	656.250	
17	Spectrogram 1	1	18.506666667	18.773333333	5695.312	6023.438	5906.250	
18	Spectrogram 1	1	19.818666667	21.546666667	9468.750	14226.562	10781.250	
19	Spectrogram 1	1	20.586666667	20.938666667	14296.875	14601.562	14437.500	
20	Spectrogram 1	1	20.682666667	20.885333333	5648.438	6000.000	5812.500	
21	Spectrogram 1	1	21.013333333	21.173333333	14789.062	15351.562	14812.500	
22	Spectrogram 1	1	22.602666667	22.890666667	5695.312	6023.438	5906.250	
23	Spectrogram 1	1	24.650666667	24.906666667	257.812	1007.812	562.500	
24	Spectrogram 1	1	25.077333333	25.376000000	304.688	1078.125	468.750	
25	Spectrogram 1	1	27.936000000	29.600000000	9257.812	17765.625	10687.500	
26	Spectrogram 1	1	29.450666667	29.568000000	16054.688	16968.750	16593.750	
27	Spectrogram 1	1	29.450666667	29.568000000	14742.188	15773.438	15656.250	
28	Spectrogram 1	1	34.453333333	34.688000000	984.375	1687.500	1312.500	Leptodactylus_fragilis
29	Spectrogram 1	1	35.882666667	36.096000000	328.125	1218.750	656.250	
30	Spectrogram 1	1	36.490666667	36.661333333	843.750	1312.500	937.500	
31	Spectrogram 1	1	37.450666667	37.653333333	1054.688	1382.812	1218.750	
32	Spectrogram 1	1	38.400000000	38.666666667	1007.812	1382.812	1218.750	
33	Spectrogram 1	1	38.634666667	38.730666667	4781.250	6164.062	5250.000	
34	Spectrogram 1	1	41.738666667	41.856000000	398.438	914.062	656.250	
35	Spectrogram 1	1	44.565333333	45.205333333	304.688	703.125	468.750	
36	Spectrogram 1	1	48.234666667	48.896000000	773.438	1429.688	843.750	
37	Spectrogram 1	1	48.896000000	49.194666667	5554.688	5976.562	5906.250	
38	Spectrogram 1	1	49.333333333	49.472000000	867.188	1476.562	937.500	
39	Spectrogram 1	1	49.738666667	50.026666667	843.750	1312.500	1125.000	
40	Spectrogram 1	1	51.552000000	51.797333333	5601.562	5929.688	5718.750	
41	Spectrogram 1	1	52.629333333	52.768000000	3257.812	4875.000	3937.500	
42	Spectrogram 1	1	54.453333333	54.581333333	2039.062	2437.500	2343.750	
43	Spectrogram 1	1	56.213333333	56.490666667	773.438	1101.562	937.500	
