Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.618666667	0.789333333	1031.250	1687.500	1546.875	Boana_platanera
2	Spectrogram 1	1	1.034666667	1.290666667	20718.750	21234.375	20765.625	
3	Spectrogram 1	1	1.312000000	1.482666667	585.938	1921.875	609.375	Boana_platanera
4	Spectrogram 1	1	1.717333333	2.058666667	4054.688	4804.688	4125.000	
5	Spectrogram 1	1	1.781333333	2.026666667	1078.125	1898.438	1546.875	Boana_platanera
6	Spectrogram 1	1	1.845333333	2.101333333	20695.312	21445.312	21093.750	
7	Spectrogram 1	1	1.962666667	2.101333333	6867.188	7242.188	7031.250	
8	Spectrogram 1	1	1.973333333	2.080000000	19570.312	20179.688	19921.875	
9	Spectrogram 1	1	2.677333333	3.050666667	1242.188	1851.562	1546.875	Boana_platanera
10	Spectrogram 1	1	2.954666667	3.168000000	4453.125	4851.562	4828.125	
11	Spectrogram 1	1	3.306666667	3.584000000	562.500	1921.875	1546.875	Boana_platanera
12	Spectrogram 1	1	3.829333333	4.298666667	4031.250	6187.500	5296.875	
13	Spectrogram 1	1	3.936000000	4.170666667	585.938	1898.438	1546.875	Boana_platanera
14	Spectrogram 1	1	4.032000000	4.181333333	2742.188	3281.250	3140.625	
15	Spectrogram 1	1	4.522666667	4.736000000	1265.625	1781.250	1546.875	Boana_platanera
16	Spectrogram 1	1	4.746666667	4.853333333	2906.250	3375.000	3093.750	
17	Spectrogram 1	1	5.077333333	5.248000000	2859.375	3351.562	3046.875	
18	Spectrogram 1	1	5.226666667	5.440000000	1195.312	1921.875	1546.875	Boana_platanera
19	Spectrogram 1	1	5.877333333	6.176000000	8695.312	9093.750	8812.500	
20	Spectrogram 1	1	5.898666667	6.122666667	3562.500	4242.188	4078.125	
21	Spectrogram 1	1	6.389333333	6.720000000	1218.750	2132.812	1546.875	Boana_platanera
22	Spectrogram 1	1	7.061333333	7.413333333	468.750	2273.438	1546.875	Boana_platanera
23	Spectrogram 1	1	8.330666667	8.437333333	20789.062	21328.125	21000.000	
24	Spectrogram 1	1	8.565333333	8.725333333	6468.750	7265.625	6937.500	
25	Spectrogram 1	1	8.672000000	8.970666667	3585.938	4851.562	4078.125	
26	Spectrogram 1	1	8.725333333	8.874666667	281.250	1007.812	328.125	
27	Spectrogram 1	1	8.906666667	9.077333333	20742.188	21328.125	21093.750	
28	Spectrogram 1	1	9.194666667	9.301333333	20859.375	21492.188	21421.875	
29	Spectrogram 1	1	9.226666667	9.525333333	257.812	1828.125	375.000	Boana_platanera
30	Spectrogram 1	1	9.290666667	9.610666667	8648.438	9140.625	8671.875	
31	Spectrogram 1	1	9.429333333	9.536000000	20812.500	21281.250	20953.125	
32	Spectrogram 1	1	9.525333333	9.845333333	3585.938	4804.688	4031.250	
