Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.202666667	0.437333333	3539.062	3937.500	3750.000	
2	Spectrogram 1	1	4.608000000	4.778666667	5179.688	5648.438	5437.500	
3	Spectrogram 1	1	4.704000000	4.906666667	3117.188	3515.625	3375.000	
4	Spectrogram 1	1	4.928000000	5.333333333	4101.562	5625.000	5531.250	
5	Spectrogram 1	1	5.184000000	5.888000000	3796.875	5765.625	3937.500	
6	Spectrogram 1	1	5.536000000	5.824000000	10171.875	10757.812	10406.250	
7	Spectrogram 1	1	6.261333333	7.584000000	1734.375	6492.188	5250.000	
8	Spectrogram 1	1	6.485333333	6.645333333	10921.875	11531.250	11062.500	
9	Spectrogram 1	1	6.506666667	6.709333333	9210.938	10125.000	9375.000	
10	Spectrogram 1	1	6.773333333	7.424000000	8507.812	11625.000	9000.000	
11	Spectrogram 1	1	7.829333333	11.157333333	2343.750	6468.750	3187.500	
12	Spectrogram 1	1	8.373333333	9.258666667	9257.812	12375.000	9656.250	
13	Spectrogram 1	1	8.416000000	8.629333333	9257.812	9773.438	9468.750	
14	Spectrogram 1	1	11.274666667	11.445333333	4570.312	5648.438	4875.000	
15	Spectrogram 1	1	11.520000000	15.776000000	2109.375	6140.625	5343.750	Troglodytes_aedon
16	Spectrogram 1	1	11.616000000	12.010666667	3796.875	5507.812	4593.750	
17	Spectrogram 1	1	13.098666667	13.365333333	1593.750	1945.312	1687.500	
18	Spectrogram 1	1	13.546666667	13.653333333	10054.688	10664.062	10312.500	
19	Spectrogram 1	1	14.730666667	14.954666667	1523.438	1828.125	1781.250	
20	Spectrogram 1	1	15.264000000	15.424000000	2531.250	2835.938	2718.750	
21	Spectrogram 1	1	15.466666667	15.776000000	2789.062	3164.062	3000.000	
22	Spectrogram 1	1	16.181333333	16.821333333	3257.812	3796.875	3562.500	
23	Spectrogram 1	1	18.410666667	18.549333333	4078.125	4500.000	4125.000	
24	Spectrogram 1	1	18.890666667	19.114666667	4265.625	4664.062	4500.000	
25	Spectrogram 1	1	20.128000000	20.629333333	3304.688	3679.688	3375.000	
26	Spectrogram 1	1	22.570666667	22.666666667	4687.500	5695.312	5156.250	
27	Spectrogram 1	1	26.442666667	26.549333333	4429.688	5742.188	5156.250	
28	Spectrogram 1	1	32.992000000	34.976000000	1804.688	6117.188	3093.750	Troglodytes_aedon
29	Spectrogram 1	1	33.760000000	34.101333333	9398.438	10664.062	9562.500	
30	Spectrogram 1	1	35.562666667	35.722666667	5226.562	6000.000	5906.250	
31	Spectrogram 1	1	37.429333333	39.744000000	2039.062	6117.188	3187.500	Troglodytes_aedon
32	Spectrogram 1	1	38.378666667	38.602666667	1640.625	1992.188	1968.750	
33	Spectrogram 1	1	38.656000000	38.933333333	9703.125	10664.062	9843.750	
34	Spectrogram 1	1	44.202666667	46.282666667	2250.000	6093.750	2812.500	Troglodytes_aedon
